orderlife_qid,label,birth,death,gedcom_name,wikidata_qid,geni_id,bucket
Q1,Aster,-13000000000-00-00T00:00:00Z,,,,,order.life only: no geni id and no wikidata qid
Q2,Emma H. Leonhart,,,,,,order.life only: no geni id and no wikidata qid
Q3,Andromeda,-13000000000-00-00T00:00:00Z,,Andromeda /Omega/,,,order.life only: no geni id and no wikidata qid
Q4,Benzette,-12983000000-00-00T00:00:00Z,,Benzette /Hesperides/,,,order.life only: no geni id and no wikidata qid
Q5,Hesper,,,Hesper /Hesperides/,,,order.life only: no geni id and no wikidata qid
Q6,Quinamette,,,Quinamette /Hesperides/,,,order.life only: no geni id and no wikidata qid
Q7,Bios,,,ビオス /ヘスペリデス/,,,order.life only: no geni id and no wikidata qid
Q8,Viros,,,ヴィロス /ヘスペリデス/,,,order.life only: no geni id and no wikidata qid
Q9,Dedos,,,デドス /ヘスペリデス/,,,order.life only: no geni id and no wikidata qid
Q10,Kenan,,,,,,order.life only: no geni id and no wikidata qid
Q11,Caynen,,,,,,order.life only: no geni id and no wikidata qid
Q12,Aenos,,,,,,order.life only: no geni id and no wikidata qid
Q13,Hanos,,,,,,order.life only: no geni id and no wikidata qid
Q14,Malathan,,,,,,order.life only: no geni id and no wikidata qid
Q15,Mehuthen,,,,,,order.life only: no geni id and no wikidata qid
Q16,Jared,,,,,,order.life only: no geni id and no wikidata qid
Q17,Irad,,,,,,order.life only: no geni id and no wikidata qid
Q18,Maharoch,,,,,,order.life only: no geni id and no wikidata qid
Q19,Malathok,,,,,,order.life only: no geni id and no wikidata qid
Q20,Enid,,,,,,order.life only: no geni id and no wikidata qid
Q21,Hanad,,,Hanad /Viros Ehēca/,,,order.life only: no geni id and no wikidata qid
Q22,Pahadok,,,Pahadok /Bios Ehēca/,,,order.life only: no geni id and no wikidata qid
Q23,Peladok,,,Peladok /Viros Ehēca/,,,order.life only: no geni id and no wikidata qid
Q24,Pelod,,,Pelod  /Bios Quiyah/,,,order.life only: no geni id and no wikidata qid
Q25,Sarniod,,,Sarniod /Viros Quiyah/,,,order.life only: no geni id and no wikidata qid
Q26,Aroch,,,Aroch  /Bios Quiyah/,,,order.life only: no geni id and no wikidata qid
Q27,Alok,,,Alok /Viros Quiyah/,,,order.life only: no geni id and no wikidata qid
Q28,Nerod,,,Nerod  /Bios Quiyah/,,,order.life only: no geni id and no wikidata qid
Q29,Illod,,,Illod /Viros Quiyah/,,,order.life only: no geni id and no wikidata qid
Q30,Larthok,,,Larthok /Bios Quiyah/,,,order.life only: no geni id and no wikidata qid
Q31,Umroch,,,Umroch /Viros Quiyah/,,,order.life only: no geni id and no wikidata qid
Q32,Idris,,,Idris /Bios Attle/,,,order.life only: no geni id and no wikidata qid
Q33,Oblas,,,Oblas /Viros Attle/,,,order.life only: no geni id and no wikidata qid
Q34,Methuselah,,,Methuselah /Bios Attle/,,,order.life only: no geni id and no wikidata qid
