file,bytes,content,writer,readers,cited_in,verdict,reason
abbreviation-resolution-changes.csv,344247,"2,771 people whose abbreviated patronymic (Nilsdtr, Andersd) resolution changed: was/now + basis","none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)",none,devlog.md; docs/rules/names.md,KEEP-RECORD,"Cited in docs/rules/names.md and devlog as ""every one"" evidence for the abbreviation rule"
abul-hamza-montecarlo-round.tsv,2617,"MC round 1 off Abul Hamza: 38 picks with census readings (descendants/ancestors/blood/tree/followers, timestamp)","none in code: drained from the geni-extension {type:'montecarlo'} census run and copied into reports/ by hand (devlog records copying drain files off); none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)",none,devlog.md,KEEP-RECORD,Round record of the Monte Carlo descendants campaign (docs/monte-carlo-procedure.md: a root stops when a round returns zero >=5000 readings; these rounds are that evidence); census page loads are not reproducible offline
abul-hamza-montecarlo-round2.tsv,2669,MC round 2 off Abul Hamza: 39 picks with census readings,"none in code: drained from the geni-extension {type:'montecarlo'} census run and copied into reports/ by hand (devlog records copying drain files off); none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)",none,none,KEEP-RECORD,Round record of the Monte Carlo descendants campaign (docs/monte-carlo-procedure.md: a root stops when a round returns zero >=5000 readings; these rounds are that evidence); census page loads are not reproducible offline
abul-hamza-montecarlo-round3-candidates.txt,800,MC round 3 off Abul Hamza: the 40 picked geni ids,"none in code: drained from the geni-extension {type:'montecarlo'} census run and copied into reports/ by hand (devlog records copying drain files off); none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)",none,none,KEEP-RECORD,Round record of the Monte Carlo descendants campaign (docs/monte-carlo-procedure.md: a root stops when a round returns zero >=5000 readings; these rounds are that evidence); census page loads are not reproducible offline
abul-hamza-montecarlo-round3.tsv,925,MC round 3 off Abul Hamza: descendants reading per pick,"none in code: drained from the geni-extension {type:'montecarlo'} census run and copied into reports/ by hand (devlog records copying drain files off); none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)",none,none,KEEP-RECORD,Round record of the Monte Carlo descendants campaign (docs/monte-carlo-procedure.md: a root stops when a round returns zero >=5000 readings; these rounds are that evidence); census page loads are not reproducible offline
abul-hamza-montecarlo-round4-candidates.txt,800,MC round 4 off Abul Hamza: the 40 picked geni ids,"none in code: drained from the geni-extension {type:'montecarlo'} census run and copied into reports/ by hand (devlog records copying drain files off); none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)",none,none,KEEP-RECORD,Round record of the Monte Carlo descendants campaign (docs/monte-carlo-procedure.md: a root stops when a round returns zero >=5000 readings; these rounds are that evidence); census page loads are not reproducible offline
abul-hamza-montecarlo-round4.tsv,920,MC round 4 off Abul Hamza: descendants reading per pick,"none in code: drained from the geni-extension {type:'montecarlo'} census run and copied into reports/ by hand (devlog records copying drain files off); none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)",none,none,KEEP-RECORD,Round record of the Monte Carlo descendants campaign (docs/monte-carlo-procedure.md: a root stops when a round returns zero >=5000 readings; these rounds are that evidence); census page loads are not reproducible offline
abul-hamza-montecarlo-round5-candidates.txt,800,MC round 5 off Abul Hamza: the 40 picked geni ids,"none in code: drained from the geni-extension {type:'montecarlo'} census run and copied into reports/ by hand (devlog records copying drain files off); none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)",none,none,KEEP-RECORD,Round record of the Monte Carlo descendants campaign (docs/monte-carlo-procedure.md: a root stops when a round returns zero >=5000 readings; these rounds are that evidence); census page loads are not reproducible offline
abul-hamza-montecarlo-round5.tsv,921,MC round 5 off Abul Hamza: descendants reading per pick,"none in code: drained from the geni-extension {type:'montecarlo'} census run and copied into reports/ by hand (devlog records copying drain files off); none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)",none,none,KEEP-RECORD,Round record of the Monte Carlo descendants campaign (docs/monte-carlo-procedure.md: a root stops when a round returns zero >=5000 readings; these rounds are that evidence); census page loads are not reproducible offline
adasi-montecarlo-round2.tsv,2641,MC round 2 off the Adasi root: 39 picks with census readings,"none in code: drained from the geni-extension {type:'montecarlo'} census run and copied into reports/ by hand (devlog records copying drain files off); none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)",none,devlog.md,KEEP-RECORD,Round record of the Monte Carlo descendants campaign (docs/monte-carlo-procedure.md: a root stops when a round returns zero >=5000 readings; these rounds are that evidence); census page loads are not reproducible offline
adasi-montecarlo-stats.tsv,2695,MC round 1 off the Adasi root: 40 picks with census readings,"none in code: drained from the geni-extension {type:'montecarlo'} census run and copied into reports/ by hand (devlog records copying drain files off); none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)",none,devlog.md,KEEP-RECORD,Round record of the Monte Carlo descendants campaign (docs/monte-carlo-procedure.md: a root stops when a round returns zero >=5000 readings; these rounds are that evidence); census page loads are not reproducible offline
alix-line-missing-items.csv,1257,17 people on the owner->Alix lines (steps 22+) holding no Wikidata item,"none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)",none,devlog.md,KEEP-RECORD,Cited in devlog as the 17-people finding
ancestry-frontier-seeds.md,12285,"Hand-written seed list: re-export seeds past the 1,461 dead-ends of the owner Ancestors export","none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context); hand-written",none,none,KEEP-RECORD,Research/plan record about the owner ancestry frontier; not reproducible by any script
