qid	lang	value	note
Q141548837	mul	Margareta Holgersdatter Rosenkrantz til Frøllinge og Rosenlund.	restore: the deleted birth-name ground made it worse, 2026-09-24
Q141548837	en	Margareta Holgersdatter Rosenkrantz til Frøllinge og Rosenlund.	restore: the deleted birth-name ground made it worse, 2026-09-24
Q141533556	mul	Madela Tolleivsdatter Norheim	restore: the deleted birth-name ground made it worse, 2026-09-24
Q141533556	en	Madela Tolleivsdatter Norheim	restore: the deleted birth-name ground made it worse, 2026-09-24
Q141533323	mul	Guri Rasmusdatter Helland	restore: the deleted birth-name ground made it worse, 2026-09-24
Q141533323	en	Guri Rasmusdatter Helland	restore: the deleted birth-name ground made it worse, 2026-09-24
Q141532509	mul	Anne Persdatter Hodne	restore: the deleted birth-name ground made it worse, 2026-09-24
Q141532509	en	Anne Persdatter Hodne	restore: the deleted birth-name ground made it worse, 2026-09-24
Q141532491	mul	Anna Katarina Silvius	restore: the deleted birth-name ground made it worse, 2026-09-24
Q141532491	en	Anna Katarina Silvius	restore: the deleted birth-name ground made it worse, 2026-09-24
