han	kind	latin	note
李	clan	Li
韋	clan	Wei
柳	clan	Liu
裴	clan	Pei
陳	clan	Chen
楊	clan	Yang
房	clan	Fang
薛	clan	Xue
蕭	clan	Xiao
崔	clan	Cui
鄭	clan	Zheng
杜	clan	Du
張	clan	Zhang
陸	clan	Lu	distinct from 盧, same pinyin without tone marks
蘇	clan	Su
權	clan	Quan
唐	clan	Tang
郭	clan	Guo
武	clan	Wu
盧	clan	Lu	distinct from 陸, same pinyin without tone marks
隴西狄道	place	Longxi Didao	commandery + county
京兆杜陵	place	Jingzhao Duling
河東解縣	place	Hedong Jiexian
河東聞喜	place	Hedong Wenxi
弘農華陰	place	Hongnong Huayin
趙州平棘	place	Zhaozhou Pingji
河南	place	Henan	commandery alone
滑州匡城	place	Huazhou Kuangcheng
齊州臨淄	place	Qizhou Linzi
京兆長安	place	Jingzhao Chang'an
京兆萬年	place	Jingzhao Wannian
潤州	place	Runzhou	prefecture alone
秦州成紀	place	Qinzhou Chengji	CLAUDE.md's worked example of a place in the SURN field
河南洛陽	place	Henan Luoyang
蘭陵	place	Lanling
趙州贊皇	place	Zhaozhou Zanhuang
蒲州寶鼎	place	Puzhou Baoding
昇州江寧	place	Shengzhou Jiangning
湖州長城	place	Huzhou Changcheng
襄州襄陽	place	Xiangzhou Xiangyang
河南府	place	Henan	府 is the prefecture suffix; the bare romanisation is used because this string goes into ten languages and 'Prefecture' is an English word
鄭州榮澤	place	Zhengzhou Rongze
吳郡吳縣	place	Wujun Wuxian
清河東武城	place	Qinghe Dongwucheng	five characters, not the usual four
貝州清河	place	Beizhou Qinghe
吳興長城	place	Wuxing Changcheng
揚州	place	Yangzhou	prefecture alone
秦州清水	place	Qinzhou Qingshui
晉昌冥安	place	Jinchang Ming'an
太原	place	Taiyuan	commandery alone
太原文水	place	Taiyuan Wenshui
滎陽開封	place	Xingyang Kaifeng
深州安平	place	Shenzhou Anping
襄州穀城	place	Xiangzhou Gucheng
京兆府	place	Jingzhao	府 dropped for the same reason as 河南府
潤州丹陽	place	Runzhou Danyang
