qid	geni_id	clan_han	place_han	clan	place	sex	mul	en	nb	da	sv	de	nl	es	it	pt	ca
Q10864996	6000000074750446079	李	隴西狄道	Li	Longxi Didao	F	NN	woman of the Li clan, from Longxi Didao	kvinne av Li-slekten, fra Longxi Didao	kvinde af Li-slægten, fra Longxi Didao	kvinna av Li-ätten, från Longxi Didao	Frau des Klans Li, aus Longxi Didao	vrouw van de Li-clan, uit Longxi Didao	mujer del clan Li, de Longxi Didao	donna del clan Li, da Longxi Didao	mulher do clã Li, de Longxi Didao	dona del clan Li, de Longxi Didao
Q10881168	6000000074749816694	李	隴西狄道	Li	Longxi Didao	F	NN	woman of the Li clan, from Longxi Didao	kvinne av Li-slekten, fra Longxi Didao	kvinde af Li-slægten, fra Longxi Didao	kvinna av Li-ätten, från Longxi Didao	Frau des Klans Li, aus Longxi Didao	vrouw van de Li-clan, uit Longxi Didao	mujer del clan Li, de Longxi Didao	donna del clan Li, da Longxi Didao	mulher do clã Li, de Longxi Didao	dona del clan Li, de Longxi Didao
Q11064679	6000000074750029536	李	隴西狄道	Li	Longxi Didao	F	NN	woman of the Li clan, from Longxi Didao	kvinne av Li-slekten, fra Longxi Didao	kvinde af Li-slægten, fra Longxi Didao	kvinna av Li-ätten, från Longxi Didao	Frau des Klans Li, aus Longxi Didao	vrouw van de Li-clan, uit Longxi Didao	mujer del clan Li, de Longxi Didao	donna del clan Li, da Longxi Didao	mulher do clã Li, de Longxi Didao	dona del clan Li, de Longxi Didao
Q11098137	6000000075335027115	李	河南府	Li	Henan Prefecture	M	NN	man of the Li clan, from Henan Prefecture	mann av Li-slekten, fra Henan Prefecture	mand af Li-slægten, fra Henan Prefecture	man av Li-ätten, från Henan Prefecture	Mann des Klans Li, aus Henan Prefecture	man van de Li-clan, uit Henan Prefecture	hombre del clan Li, de Henan Prefecture	uomo del clan Li, da Henan Prefecture	homem do clã Li, de Henan Prefecture	home del clan Li, de Henan Prefecture
Q11110062	6000000048526958843	柳	河東解縣	Liu	Hedong Jiexian	M	NN	man of the Liu clan, from Hedong Jiexian	mann av Liu-slekten, fra Hedong Jiexian	mand af Liu-slægten, fra Hedong Jiexian	man av Liu-ätten, från Hedong Jiexian	Mann des Klans Liu, aus Hedong Jiexian	man van de Liu-clan, uit Hedong Jiexian	hombre del clan Liu, de Hedong Jiexian	uomo del clan Liu, da Hedong Jiexian	homem do clã Liu, de Hedong Jiexian	home del clan Liu, de Hedong Jiexian
Q11180129	6000000074750574934	李	隴西狄道	Li	Longxi Didao	F	NN	woman of the Li clan, from Longxi Didao	kvinne av Li-slekten, fra Longxi Didao	kvinde af Li-slægten, fra Longxi Didao	kvinna av Li-ätten, från Longxi Didao	Frau des Klans Li, aus Longxi Didao	vrouw van de Li-clan, uit Longxi Didao	mujer del clan Li, de Longxi Didao	donna del clan Li, da Longxi Didao	mulher do clã Li, de Longxi Didao	dona del clan Li, de Longxi Didao
Q15954845	6000000074750788964	李		Li		F	NN	woman of the Li clan	kvinne av Li-slekten	kvinde af Li-slægten	kvinna av Li-ätten	Frau des Klans Li	vrouw van de Li-clan	mujer del clan Li	donna del clan Li	mulher do clã Li	dona del clan Li
Q16603665	6000000074750574043	李	隴西狄道	Li	Longxi Didao	F	NN	woman of the Li clan, from Longxi Didao	kvinne av Li-slekten, fra Longxi Didao	kvinde af Li-slægten, fra Longxi Didao	kvinna av Li-ätten, från Longxi Didao	Frau des Klans Li, aus Longxi Didao	vrouw van de Li-clan, uit Longxi Didao	mujer del clan Li, de Longxi Didao	donna del clan Li, da Longxi Didao	mulher do clã Li, de Longxi Didao	dona del clan Li, de Longxi Didao
Q18908886	6000000074759676131	韋	京兆杜陵	Wei	Jingzhao Duling	M	NN	man of the Wei clan, from Jingzhao Duling	mann av Wei-slekten, fra Jingzhao Duling	mand af Wei-slægten, fra Jingzhao Duling	man av Wei-ätten, från Jingzhao Duling	Mann des Klans Wei, aus Jingzhao Duling	man van de Wei-clan, uit Jingzhao Duling	hombre del clan Wei, de Jingzhao Duling	uomo del clan Wei, da Jingzhao Duling	homem do clã Wei, de Jingzhao Duling	home del clan Wei, de Jingzhao Duling
Q45420125	6000000074736012954	權	秦州清水	Quan	Qinzhou Qingshui	M	NN	man of the Quan clan, from Qinzhou Qingshui	mann av Quan-slekten, fra Qinzhou Qingshui	mand af Quan-slægten, fra Qinzhou Qingshui	man av Quan-ätten, från Qinzhou Qingshui	Mann des Klans Quan, aus Qinzhou Qingshui	man van de Quan-clan, uit Qinzhou Qingshui	hombre del clan Quan, de Qinzhou Qingshui	uomo del clan Quan, da Qinzhou Qingshui	homem do clã Quan, de Qinzhou Qingshui	home del clan Quan, de Qinzhou Qingshui
