qid	label	languages	distinct_latin	verdict
Q217044	Franz Berwald	84	1	agreed
Q5574572	August Berwald	84	1	agreed
Q4953277	Margaretha Heijkenskjöld	75	1	agreed
Q18944165	Ester Berggren	73	1	agreed
Q160213		49	12	labels disagree
Q5779529	Nils Gyllenstierna	45	1	agreed
Q467497		34	2	labels disagree
Q805827		31	2	labels disagree
Q26405863	Olof Bure	28	1	agreed
Q5792035	August von Hartmansdorff	28	1	agreed
Q364270		26	2	labels disagree
Q719983	Johan Ihre	26	1	agreed
Q29246906	Eleonora von Sydow	25	1	agreed
Q5626148	Carl Wilhelm von Düben	25	1	agreed
Q3044		24	71	labels disagree
Q5542622	Johan Adelswärd	24	1	agreed
Q5542628	Erik Göran Adelswärd	24	1	agreed
Q5823030	Carl Gustaf Indebetou	24	1	agreed
Q6206392	Fredrik Tersmeden	24	1	agreed
Q6240337	Per Henrik Widmark	24	1	agreed
Q16165426	Catharina Burea	23	1	agreed
Q3143008	Hulda Garborg	23	1	agreed
Q6001589	Carl Stellan Mörner	23	1	agreed
Q6015299	Johan Magnus af Nordin	23	1	agreed
Q6206421	Lars Gustaf Tersmeden	23	1	agreed
Q6206425	Per Reinhold Tersmeden	23	1	agreed
Q792307	Axel Otto Mörner	23	1	agreed
Q930758	Carl von Rosenstein	23	1	agreed
Q16649829	Fredrik Adolf Löwenhielm	22	1	agreed
Q191114		22	7	labels disagree
Q31900316	Per Ulrik Lilliehorn	22	1	agreed
Q543935	Gustaf Mauritz Armfelt	22	1	agreed
Q5584506		22	2	labels disagree
Q5702986	Carl Olof Delldén	22	1	agreed
Q5802535	Matthias von Hermansson	22	1	agreed
Q6015181	Carl Johan af Nordin	22	1	agreed
Q6045829	Thore Petre	22	1	agreed
Q821990		22	2	labels disagree
Q1036858	Carl August Ehrensvärd	21	1	agreed
Q16650429	Pehr Svedelius	21	1	agreed
Q22976203	Jacob Fredrik Beskow	21	1	agreed
Q333651		21	3	labels disagree
Q42846888	Luisa de Padilla y Manrique	21	1	agreed
Q4830275	Axel Gustaf Gyllenkrok	21	1	agreed
