geni_id,name,only_in,father_id,father_name
6000000207104297832,# Ibu dari desa Tegeh,export-BloodTree-6000000227240714964.ged,,
6000000192779658821,#1,export-BloodTree-6000000227240714964.ged,6000000192779330831,Girindra Wardana / Dyah Ranawijaya Brawijaya VI ( 1478- 1498)
6000000040963718232,#1 2 NM. Cukang Gedeng Waru / NM. Sari Hatin,export-BloodTree-6000000227240714964.ged,,
6000000041000204037,#1 ?,export-BloodTree-6000000227240714964.ged,,
6000000179389494926,#1 Dewi Saroh (Sarah) /./,export-BloodTree-6000000227240714964.ged,,
6000000189663191823,#1 Parameswari Tribhuwaneswari,export-BloodTree-6000000227240714964.ged,,
6000000192779500835,#2,export-BloodTree-6000000227240714964.ged,6000000192779658821,#1
6000000189660795852,#2 Dewi Sarokah binti Sunan Gunung Jati,export-BloodTree-6000000227240714964.ged,,
6000000189662592849,#2 Narendra Duhita Mahadewi (tidak punya keturunan),export-BloodTree-6000000227240714964.ged,6000000026205591028,Sri Maharajadiraja Sri Kertanegara Wikrama Dharmatunggadewa Raja Singasari
6000000186737985943,#3 Nyimas Pasarean NR. Halimah (m. Gunung Cupu Pasarean Kec. Sumedang Selatan),export-BloodTree-6000000227240714964.ged,,
6000000189662316885,#3 Prajnya Paramita Jayendradewi,export-BloodTree-6000000227240714964.ged,6000000026205591028,Sri Maharajadiraja Sri Kertanegara Wikrama Dharmatunggadewa Raja Singasari
6000000083767552933,(?) Леванович /Дадиани/,export-BloodTree-6000000227240714964.ged,6000000070947642129,Levan Манучарович /Dadiani/ II
6000000002187821980,(Molher de Musel IV Mamikonian),export-BloodTree-6000000227240714964.ged,,
6000000004869200904,(Molher de Samuel II Mamikonian) /./,export-BloodTree-6000000227240714964.ged,,
6000000007264972497,(unk) /???/,export-BloodTree-6000000227240714964.ged,,
6000000008127677144,(unk) /Ardzrouni/,export-BloodTree-6000000227240714964.ged,,
6000000008127686725,(unk) /Ardzrouni/,export-BloodTree-6000000227240714964.ged,,
6000000008127809264,(unk) /Ardzrouni/,export-BloodTree-6000000227240714964.ged,,
6000000008127646739,(unk) /Ardzrouni/,export-BloodTree-6000000227240714964.ged,,
6000000186291378929,. /Чачба/Шервашидзе/,export-BloodTree-6000000227240714964.ged,6000000083767532831,Puto Бослакович /Shervashidze/
6000000126170696842,...,export-BloodTree-6000000227240714964.ged,6000000042672435878,Qara Yoluz Osman Beg /Aq Qoyunlu (Bayondor)/
6000000050595623956,... /.../,export-BloodTree-6000000227240714964.ged,,
6000000127376523154,... /.../,export-BloodTree-6000000227240714964.ged,,
6000000166200225948,... /Embriaco/ of Jebail,export-BloodTree-6000000227240714964.ged,,
6000000141862431896,... /Gattilusio/,export-BloodTree-6000000227240714964.ged,6000000141859407227,Battista /Gattilusio/
6000000008521823512,....,export-BloodTree-6000000227240714964.ged,6000000007949043978,"Kaloioannes /Komnenos/ ""Alexios III"" emperor in Trebizond"
6000000065497623833,.... /..../,export-BloodTree-6000000227240714964.ged,,
6000000205100740840,.... /Contarini/,export-BloodTree-6000000227240714964.ged,,
6000000184198891831,.... /Doria/,export-BloodTree-6000000227240714964.ged,6000000003696100411,Ilario /Doria/
6000000009244168553,.... /Gattilusio/,export-BloodTree-6000000227240714964.ged,6000000009243628925,Palamede /Gattilusio/ lord of Ainos
6000000092582113590,.... /Gattilusio/,export-BloodTree-6000000227240714964.ged,6000000009243471193,Jacopo /Gattilusio/ 3rd lord of Lesbos
6000000013055140244,.... /Kantakouzene/,export-BloodTree-6000000227240714964.ged,,
6000000173521988923,.... /Komnenos/ of Trebizond,export-BloodTree-6000000227240714964.ged,6000000007948731482,Manuel III /Komnenos/ emperor of Trebizond
6000000020371217021,.... /Lupi/,export-BloodTree-6000000227240714964.ged,,
6000000003695843572,.... /Palaiologos/,export-BloodTree-6000000227240714964.ged,361088998770012651,Andronikos III /Palaiologos/ Byzantine emperor
6000000009056931305,.... /Paleologa/ bizantine princess,export-BloodTree-6000000227240714964.ged,361089507860011643,John V /Palaiologos/ Byzantine emperor
6000000204169159830,.... /Paleologa/ bizantine princess,export-BloodTree-6000000227240714964.ged,361089507860011643,John V /Palaiologos/ Byzantine emperor
