qid	geni_ids	verdict	evidence
Q961910	6000000014163322246;6000000185833360841	siblings	brothers; each page lists the other; sons of Hyacinthe Arrighi de Casanova
Q96985053	6000000006376446567;6000000003617703553	father-son	both Deacon John Loomis, 1622-1688 and his son 1649-1715; both Master Profiles
Q121643089	6000000003645772949;6000000195144093842	half-sisters	Geni curator LOCKED the NN profile against merging with any of Haakon's daughters
Q104717485	6000000012481742068;6000000016365474593	siblings	brothers; both sons of Ivan Sapieha-Kodenski; each lists the other
Q122925422	6000000038414606035;6000000038414714892	siblings	sisters, both c.1560, both daughters of Pawel Sapiega-Koden; married Maciej and Mateusz Dembinski
Q47306394	6000000003523237946;6000000064526129883	different-people	different fathers Pavel vs Bohdan Sapieha; both render as Sofija Sapiegaite in Lithuanian
Q17045022	6000000007377273393;6000000177596210821	duplicate	both prince Vsevolod Glebovich of Iziaslavl/Izyaslavl; same parents Gleb Vseslavich of Minsk + Anastasia; one lists the other as brother; spelling differs by one letter
Q886894	6000000003645908672;6000000041073777758	duplicate	both Ptolemy Apion King of Cyrene; same parents Ptolemy VIII + concubine Irene; each lists the other as brother; one office, one holder
Q2607489	6000000014925718454;6000000041298129918	duplicate	Voytek = Wojciech = Albertas, one name three languages, stated on the profile itself; same parents; both died 1475; wives Elisabeth Anna Sak and Elzbieta Manvidiene are one woman
Q20101126	6000000003827464536;6000000009126264881	likely-duplicate	Smassmann/Sassmann von Rappoltstein; same father Bruno I; BOTH DIED 1451; recorded as half-brothers only because two different mothers are held
