export,family_id,husband_geni_id,husband_name,wife_geni_id,wife_name,has_wife,n_children,children_geni_ids,children_names,marr_place,div_raw,marr_raw,marr_iso,marr_precision,marr_year,marr_month,marr_day,marr_year_end,marr_modifier
exports\archive\export-geni\export-Forest-15.ged,6000000178917712851,6000000178917712846,Hillel II/Hanan /Samaritan High Priest/,6000000178918422849,daughter of the king of Assyria,yes,2,6000000178918560829 6000000178918560829,Hezekiah IV /Samaritan High Priest/ | Hezekiah IV /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000020710695161,6000000006131567298,Darius,,,no,2,6000000178918422849 6000000178918422849,daughter of the king of Assyria | daughter of the king of Assyria,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918623829,6000000178918623825,Amram III /Samaritan High Priest/,,,no,1,6000000178917712846,Hillel II/Hanan /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918560833,6000000178918560829,Hezekiah IV /Samaritan High Priest/,,,no,2,6000000178918443849 6000000178918443849,Daliah II /Samaritan High Priest/ | Daliah II /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918599830,6000000178918599826,Hananiah /Samaritan High Priest/,,,no,1,6000000178918623825,Amram III /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918443853,6000000178918443849,Daliah II /Samaritan High Priest/,,,no,2,6000000178918571830 6000000178918571830,Akkub II /Samaritan High Priest/ | Akkub II /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918655837,6000000178918655833,Hezekiah III /Samaritan High Priest/,,,no,1,6000000178918599826,Hananiah /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918571834,6000000178918571830,Akkub II /Samaritan High Priest/,,,no,2,6000000178918529825 6000000178918529825,Akkubiah II /Samaritan High Priest/ | Akkubiah II /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918285875,6000000178918285871,Aabed-El /Samaritan High Priest/,,,no,1,6000000178918655833,Hezekiah III /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918529829,6000000178918529825,Akkubiah II /Samaritan High Priest/,,,no,2,6000000178917883839 6000000178917883839,Levi II /Samaritan High Priest/ | Levi II /Samaritan High Priest/,,,,,,,,,,
