kind,name,people,scripts,verdict,qids
family,隴西狄道,2526,Han,no item — could be created,
family,曾,2319,Han,no item — could be created,
family,陳,1871,Han,no item — could be created,
family,河南洛陽,1528,Han,no item — could be created,
family,Chén 陳,1340,Han+Latin,no item — could be created,
family,京兆長安,1205,Han,no item — could be created,
family,藤原,1135,Han,no item — could be created,
family,이,902,Hangul,no item — could be created,
family,김,880,Hangul,no item — could be created,
family,京兆杜陵,812,Han,no item — could be created,
family,譚,794,Han+Latin,no item — could be created,
family,松平,743,Han,no item — could be created,
family,琅邪臨沂,736,Han,no item — could be created,
family,河東聞喜,724,Han,no item — could be created,
family,弘農華陰,682,Han,no item — could be created,
family,范陽涿縣,632,Han,no item — could be created,
family,Борджигин,564,Cyrillic,no item — could be created,
family,姬姓,560,Han,no item — could be created,
family,鄭州榮澤,528,Han,no item — could be created,
family,南蘭陵,512,Han,no item — could be created,
family,Webster,490,Latin,several items share the label,Q15075893 | Q21484845
family,Al-Husayni,471,Latin,no item — could be created,
family,晉昌冥安,470,Han,no item — could be created,
family,Swetland,453,Latin,has an item,Q37167825
family,李,450,Han,no item — could be created,
family,河東解縣,442,Han+Latin,no item — could be created,
family,邱,428,Han,no item — could be created,
family,范陽,428,Han,no item — could be created,
family,吳郡吳縣,424,Han,no item — could be created,
family,Pease,374,Latin,has an item,Q21507931
family,滎陽開封,355,Han,no item — could be created,
family,Warren,346,Latin,has an item,Q2256715
family,源,328,Han,no item — could be created,
family,Burnham,327,Latin,has an item,Q16865194
family,권,322,Hangul,no item — could be created,
family,趙州贊皇,322,Han,no item — could be created,
family,Larsson,320,Latin,has an item,Q21504742
family,京兆萬年,308,Han,no item — could be created,
family,博陵安平,306,Han,no item — could be created,
family,河南,290,Han,no item — could be created,
family,Zēng 曾,283,Han+Latin,no item — could be created,
family,劉,277,Han,no item — could be created,
family,허,275,Hangul,no item — could be created,
family,Andersson,267,Latin,has an item,Q2817217
family,彭城,264,Han+Latin,no item — could be created,
family,織田,262,Han,no item — could be created,
family,Phelps,254,Latin,has an item,Q16881170
family,Olsen,246,Latin,has an item,Q12042571
family,清河武城,246,Han,no item — could be created,
family,河南府,244,Han,no item — could be created,
family,張,243,Han,no item — could be created,
family,河內溫縣,240,Han,no item — could be created,
family,홍,239,Hangul,no item — could be created,
family,박,233,Hangul,no item — could be created,
family,Ball,232,Latin,has an item,Q805107
family,前田,232,Han,no item — could be created,
family,清河東武城,232,Han,no item — could be created,
family,Sexton,218,Latin,has an item,Q10816799
family,Wright,217,Latin,has an item,Q2594455
family,子姓,213,Han,no item — could be created,
family,Rosenkrantz,210,Latin,several items share the label,Q1794551 | Q30574091
family,陳郡陽夏,210,Han,no item — could be created,
family,太原,208,Han,no item — could be created,
family,蘭陵,206,Han,no item — could be created,
family,大名莘縣,204,Han,no item — could be created,
family,Carlsson,199,Latin,has an item,Q21492117
family,黄,196,,no item — could be created,
family,Smith,194,Latin,has an item,Q1158446
family,Bassett,193,Latin,has an item,Q16479741
family,王,191,Han,no item — could be created,
family,Olofsson,189,Latin,has an item,Q23645132
family,孔,186,Han,no item — could be created,
family,鄭州管城,186,Han,no item — could be created,
family,深州安平,185,Han,no item — could be created,
family,Porter,182,Latin,has an item,Q2105042
family,Stanley,181,Latin,has an item,Q2331622
family,清河,180,Han,no item — could be created,
family,Washington,178,Latin,has an item,Q2550388
family,Al-Abbasi,177,Latin,has an item,Q65096431
family,Tan 陳,176,Han+Latin,no item — could be created,
family,Nelson,175,Latin,has an item,Q2782528
family,안,175,Hangul,no item — could be created,
family,Olsdatter,173,Latin,has an item,Q122838009
family,왕,173,Hangul,no item — could be created,
family,Bille,172,Latin,no item — could be created,
family,윤,172,Hangul,no item — could be created,
family,Andersdotter,166,Latin,has an item,Q42223005
family,الأموي,165,Arabic,no item — could be created,
family,Larsdotter,165,Latin,no item — could be created,
family,Сабуров,165,Cyrillic+Latin,no item — could be created,
family,الحسيني,164,Arabic,no item — could be created,
family,Eriksson,162,Latin,has an item,Q1354604
family,최,160,Hangul,no item — could be created,
family,Lewis,158,Latin,has an item,Q426463
family,池田,157,Han,no item — could be created,
family,沛國譙縣,157,Han,no item — could be created,
family,本多,154,Han,no item — could be created,
family,Al-Umawi,153,Latin,no item — could be created,
family,Stangeland,152,Latin,has an item,Q21452049
family,de Bourgogne,150,Latin,has an item,Q104837093
family,Hansen,150,Latin,several items share the label,Q2712367 | Q41027654
family,السليمي,146,Arabic,no item — could be created,
family,Spivey,145,Latin,no item — could be created,
family,Brown,144,Latin,has an item,Q13421990
family,Karlsson,144,Latin,has an item,Q16455420
family,渤海蓨縣,144,Han,no item — could be created,
family,Chinn,141,Latin,has an item,Q21492875
family,姬,141,Han,no item — could be created,
family,고,141,Hangul,no item — could be created,
family,de Noronha,140,Latin,has an item,Q100435926
family,潁川潁陰,140,Han,no item — could be created,
family,Al-Hashemi,139,Latin,no item — could be created,
family,橘,139,Han,no item — could be created,
family,黃,138,Han,no item — could be created,
family,Brahe,138,Latin,has an item,Q35799957
family,Øksnevad,138,Latin,has an item,Q30583490
family,河東汾陰,138,Han,no item — could be created,
family,太原晉陽,138,Han,no item — could be created,
family,de Lorraine,137,Latin,has an item,Q98890791
family,趙,135,Han,no item — could be created,
family,الحسني,134,Arabic,no item — could be created,
family,Andersen,134,Latin,several items share the label,Q20036568 | Q21501893
family,扶風平陵,134,Han,no item — could be created,
family,眉州眉山,134,Han,no item — could be created,
family,Welf,133,Latin,no item — could be created,
family,Williams,132,Latin,has an item,Q1688722
family,Hauge,132,Latin,has an item,Q21487823
family,Lea,132,Latin,has an item,Q6508166
family,酒井,129,Han,no item — could be created,
family,민,129,Hangul,no item — could be created,
family,陳郡長平,128,Han,no item — could be created,
family,Sehested,126,Latin,has an item,Q29654330
family,水野,126,Han,no item — could be created,
family,湖南湘鄉,126,Han,no item — could be created,
family,紀,125,Han,no item — could be created,
family,Al-Hasani,124,Latin,no item — could be created,
family,Friis,124,Latin,has an item,Q18328036
family,開封,124,Han,no item — could be created,
family,Wittelsbach,122,Latin,has an item,Q123614057
family,Espedal,122,Latin,no item — could be created,
family,노,122,Hangul,no item — could be created,
family,Askanier,121,Latin,no item — could be created,
family,KHOO 邱,121,Han+Latin,no item — could be created,
family,العباسي,121,Arabic,no item — could be created,
family,細川,121,Han,no item — could be created,
family,博爾濟吉特,121,Han,no item — could be created,
family,정,121,Hangul,no item — could be created,
family,Persson,120,Latin,has an item,Q27876648
family,Berge,120,Latin,several items share the label,Q16479900 | Q31210837
family,Lyse,120,Latin,has an item,Q39265204
family,毛利,120,Han,no item — could be created,
family,Thomas,119,Latin,has an item,Q1413324
family,Olofsdotter,118,Latin,no item — could be created,
family,Lillard,117,Latin,has an item,Q16872161
family,Jonsson,117,Latin,several items share the label,Q21494571 | Q21509276 | Q21510655
family,Sweetland,116,Latin,has an item,Q37214388
family,Tjørhom,116,Latin,no item — could be created,
family,小笠原,115,Han,no item — could be created,
family,Juel,114,Latin,has an item,Q6304703
family,趙州平棘,114,Han,no item — could be created,
family,Loomis,113,Latin,has an item,Q16872463
family,Lyman,113,Latin,has an item,Q24122088
family,徳川,113,Han,no item — could be created,
family,Bartholomew,112,Latin,has an item,Q30117840
family,Parker,112,Latin,has an item,Q1628041
family,Place,112,Latin,has an item,Q7200212
family,Kaas,112,Latin,no item — could be created,
family,Davis,111,Latin,has an item,Q12386976
family,Chilton,111,Latin,has an item,Q8270802
family,Grude,111,Latin,has an item,Q30229687
family,Barbosa,111,Latin,has an item,Q16496800
family,Pomeroy,110,Latin,has an item,Q7227282
family,Munk,110,Latin,has an item,Q17126022
family,Morrow,110,Latin,has an item,Q16877432
family,Вельяминов-Зернов,110,Cyrillic,no item — could be created,
family,유,110,Hangul,no item — could be created,
family,Johansson,108,Latin,has an item,Q1699018
family,Nilsdotter,108,Latin,has an item,Q34369950
family,Chan,108,Han+Latin,no item — could be created,
family,北条,108,Han,no item — could be created,
family,内藤,108,Han,no item — could be created,
family,姜姓,108,Han,no item — could be created,
family,Hansdatter,107,Latin,has an item,Q63342131
family,العقيلي,107,Arabic,no item — could be created,
family,de Melo,106,Latin,has an item,Q56037548
family,de Menezes,106,Latin,has an item,Q66659070
family,太原文水,106,Han,no item — could be created,
family,Pereira,105,Latin,has an item,Q21450564
family,de Castro,104,Latin,several items share the label,Q55087692 | Q99662413
family,太原祁縣,104,Han,no item — could be created,
family,趙國柏仁,104,Han,no item — could be created,
family,Persdotter,103,Latin,no item — could be created,
family,Nassau,102,Latin,has an item,Q37267291
family,Weil,102,Latin,has an item,Q17035149
family,大久保,101,Han,no item — could be created,
family,Hollister,101,Latin,has an item,Q16870846
family,Chapin,100,Latin,has an item,Q16865493
family,McKnight,100,Latin,no item — could be created,
family,de Luxembourg,99,,has an item,Q93871117
family,Harris,99,Latin,has an item,Q10859343
family,Tickner,98,Latin,has an item,Q7800717
family,Weems,98,Latin,has an item,Q37457857
family,平,97,Han,no item — could be created,
family,Ulfeldt,96,Latin,has an item,Q21508144
family,de Montmorency,96,Latin,has an item,Q63457366
family,范陽方城,96,Han,no item — could be created,
family,Nilsson,95,Latin,has an item,Q15829860
family,Carter,95,Latin,has an item,Q16101731
family,Hurd,95,Latin,no item — could be created,
family,伊達,95,Han,no item — could be created,
family,Pettersson,94,Latin,has an item,Q1706725
family,鄭州榮陽,94,Han,no item — could be created,
family,濟州鉅野,92,Han,no item — could be created,
family,Clark,91,Latin,has an item,Q1119151
family,de Lusignan,91,Latin,has an item,Q106352411
family,Lykke,91,Latin,has an item,Q21487820
family,Håland,90,Latin,no item — could be created,
family,الثقفي,90,Arabic,no item — could be created,
family,KHOO,90,Latin,has an item,Q37548132
family,Pedersen,89,Latin,has an item,Q23751947
family,Thott,89,Latin,has an item,Q47528688
family,Payne,89,Latin,has an item,Q16881041
family,Hohenzollern,89,Latin,has an item,Q88458721
family,Württemberg,89,Latin,has an item,Q55617908
family,النجاري,89,Arabic,no item — could be created,
family,de la Garza,88,Latin,has an item,Q125388649
family,石川,88,Han,no item — could be created,
family,Kleppe,87,Latin,has an item,Q30250455
family,嬴姓,87,Han,no item — could be created,
family,조,87,Hangul,no item — could be created,
family,Willett,86,Latin,has an item,Q37446979
family,Andersdatter,86,Latin,has an item,Q54810331
family,Ransdell,86,Latin,has an item,Q7293456
family,석,86,Hangul,no item — could be created,
family,de Savoie,85,Latin,has an item,Q105418238
family,Jansson,85,Latin,has an item,Q23306190
family,des Baux,85,Latin,no item — could be created,
family,de Lévis,85,Latin,has an item,Q104825239
family,Laland,85,Latin,no item — could be created,
family,de Foix,84,Latin,has an item,Q104591686
family,Jensen,84,Latin,has an item,Q12657428
family,Sapieha h. Lis,84,Latin,no item — could be created,
family,Seligman,84,Latin,has an item,Q23596199
family,Skeel,83,Latin,has an item,Q16883403
family,陸,83,Han,no item — could be created,
family,Custer,82,Latin,has an item,Q16865962
family,Fidjeland,82,Latin,no item — could be created,
family,武田,82,Han,no item — could be created,
family,Noble,82,Latin,has an item,Q15733778
family,胡,82,Han,no item — could be created,
family,撫州臨川,82,Han,no item — could be created,
family,Hall,81,Latin,has an item,Q1551523
family,Рюрикович,81,Cyrillic+Latin,no item — could be created,
family,Gilbert,81,Latin,has an item,Q1158185
family,Borsheim,81,Latin,no item — could be created,
family,楊,81,Han,no item — could be created,
family,Foster,80,Latin,has an item,Q21501722
family,Erga,80,Latin,no item — could be created,
family,Larsen,80,Latin,several items share the label,Q13099004 | Q44811063
family,الكلبي,80,Arabic,no item — could be created,
family,Atwater,80,Latin,has an item,Q37537623
family,de Portugal,80,Latin,no item — could be created,
family,有馬,80,Han,no item — could be created,
family,趙郡柏仁,80,Han,no item — could be created,
family,Jonsdotter,79,Latin,no item — could be created,
family,Grubbe,79,Latin,has an item,Q16870336
family,da Silva,79,Latin,several items share the label,Q23781436 | Q66385622
family,Westover,79,Latin,has an item,Q37539150
family,朝倉,79,Han,no item — could be created,
family,戸田,79,Han,no item — could be created,
family,島津,79,Han,no item — could be created,
family,Gyldenstierne,78,Latin,has an item,Q47456835
family,de Montfort,78,Latin,has an item,Q105496611
family,Braut,78,Latin,has an item,Q30132563
family,McCarty,78,Latin,has an item,Q27436269
family,Sosronagoro,78,Latin,no item — could be created,
family,吳興武康,78,Han,no item — could be created,
family,Bore,77,Latin,has an item,Q105227367
family,Goodwin,77,Latin,has an item,Q12201665
family,周,76,Han,no item — could be created,
family,加納,76,Han,no item — could be created,
family,d'Altavilla,76,Latin,no item — could be created,
family,Root,76,Latin,no item — could be created,
family,藤堂,76,Han,no item — could be created,
family,婺州金華,76,Han,no item — could be created,
family,Urne,75,Latin,has an item,Q26736518
family,Krabbe,75,Latin,several items share the label,Q1667462 | Q88945803
family,de Beaumont,75,Latin,has an item,Q76417957
family,Lunde,75,Latin,has an item,Q21488986
family,黒田,75,Han,no item — could be created,
family,Dameron,75,Latin,no item — could be created,
family,Al-Zuhri,75,Latin,no item — could be created,
family,Williamson,74,Latin,has an item,Q2581264
family,Hvide,74,Latin,has an item,Q55222347
family,Al-Taymi,74,Latin,no item — could be created,
family,Al-Makhzumi,74,Latin,no item — could be created,
family,Searle,74,Latin,has an item,Q16882879
family,Lee,74,Latin,several items share the label,Q11983535 | Q12794688 | Q2061957
family,Sinnes,74,Latin,no item — could be created,
