orderlife_qid,label,wikidata_qid,geni_id,already_on
Q42,Luca,Q849168,,Q849168
Q271,Aparaglossata,Q48970749,,Q48970749
Q273,Dermaptera,Q13676,,Q13676
Q278,Mantodea,Q131250,,Q131250
Q485,Halwaxiida,Q5643790,,Q5643790
Q152973,Adam Y Chromosomal Adam,Q351265,,Q351265
Q30880,Eve,Q830183,298349057780005454,Q830183
Q1676,Tribhuwana Wijayatunggadewi,Q3631722,,Q3631722
Q1681,Hayam Wuruk,Q29085,,Q29085
Q1684,Raden Wijaya,Q49334,,Q49334
Q1691,Kertanegara of Singhasari,Q47279,,Q47279
Q153342,Abhimanyu,Q320606,,Q320606
Q153343,The Buddha,Q9441,,Q9441
Q1888,Arjuna,Q185790,,Q185790
Q1906,Kunti,Q844424,,Q844424
Q1924,Kashyapa,Q1513261,,Q1513261
Q1930,Diti,Q1230306,,Q1230306
Q1939,Marichi,Q241908,,Q241908
Q2074,Devabhuti,Q3878846,,Q3878846
Q2086,Bhagabhadra,Q854679,,Q854679
Q2165,Vasumitra,Q24327,,Q24327
Q2175,Agnimitra,Q24395,,Q24395
Q2188,Brihadratha Maurya,Q24405,,Q24405
Q2194,Dasaratha Maurya,Q538082,,Q538082
Q2229,Kakavarna Kalashoka,Q10313627,,Q10313627
Q2233,Shishunaga,Q3632946,,Q3632946
Q2319,DASHARATHA,,6000000040765629101,Q1996692
Q6513,Shun,Q313342,,Q313342
Q137731,Artabanus II,Q345134,,Q345134
Q135531,Arsames,Q262745,,Q262745
Q2485,Arnuwanda III,Q278756,,Q278756
Q2489,Hattusili III,Q297588,,Q297588
Q2490,Maathorneferure,Q256430,,Q256430
Q2494,Mursili II,Q314378,,Q314378
Q2495,Muwatalli II,Q311650,,Q311650
Q2497,Suppiluliuma I,Q354903,,Q354903
Q2498,Arnuwanda II,Q342524,,Q342524
Q2508,Hattusili II,Q579727,,Q579727
Q29501,Tudhaliya II,Q355656,,Q355656
Q2515,Tudhaliya IV,Q314361,,Q314361
Q2522,Muwatalli I,Q886839,,Q886839
Q136441,Berenice,Q15623586,,Q15623586
Q135746,Agathoclea,Q391426,,Q391426
Q2664,Thora,Q122931448,6000000007170562706,Q122931448
Q135811,Tudwal,Q3542445,6000000001355641705,Q3542445
Q136304,King Arthur,Q45792,,Q45792
Q30441,Mordred,Q81109,,Q81109
Q135475,Philip,Q248817,,Q248817
Q149175,Mary,Q69789168,,Q69789168
Q132330,Ganymede,Q131588,,Q131588
Q2981,Captorhinidae,Q141936,,Q141936
Q2991,Diapsid,Q134688,,Q134688
Q3002,Paleothyris,Q385570,,Q385570
Q3457,Miguel de Cervantes,Q5682,6000000015973070193,Q5682
Q4238,María Manrique de Lara,Q61818816,,Q61818816
Q4617,Pedaiah,Q20101444,,Q20101444
Q4618,Nehusta,Q20502297,,Q20502297
Q4626,Zebudah,Q30527376,,Q30527376
Q4628,Jedidah,Q135454571,,Q135454571
Q4629,Adaiah,Q135454557,,Q135454557
Q4630,Meshullemeth,Q114995259,,Q114995259
Q4631,Haruz,Q115804881,,Q115804881
Q4633,Hephzibah,Q114771167,,Q114771167
Q4635,Ahaz,Q30914,,Q30914
Q4636,Abijah,Q3603705,,Q3603705
Q38090,Jehoash of Judah,Q313229,,Q313229
Q4638,Joaddan,Q20502568,,Q20502568
Q4642,Jecoliah,Q20502646,,Q20502646
Q4644,Jehosheba,Q4202829,,Q4202829
Q4646,Zibiah,Q8071446,,Q8071446
