relation_string,rows,kind,representation
his father,16848,parent,"FAM, slot from the word (father HUSB, mother WIFE)"
his mother,11345,parent,"FAM, slot from the word (father HUSB, mother WIFE)"
her father,10704,parent,"FAM, slot from the word (father HUSB, mother WIFE)"
his son,9789,child,"FAM, slot from the possessive (his -> HUSB, her -> WIFE)"
her mother,7275,parent,"FAM, slot from the word (father HUSB, mother WIFE)"
her son,5593,child,"FAM, slot from the possessive (his -> HUSB, her -> WIFE)"
his daughter,5421,child,"FAM, slot from the possessive (his -> HUSB, her -> WIFE)"
her daughter,4553,child,"FAM, slot from the possessive (his -> HUSB, her -> WIFE)"
,2135,no relation stated,dropped -- nothing to represent
your father,1868,parent,"FAM, slot from the word (father HUSB, mother WIFE)"
her adoptive mother,726,adoptive parent,FAM + 2 PEDI adopted / 1 ADOP / 3 ADOP BOTH
his sister,566,sibling,CHIL-only FAM -- no parent is invented
her husband,472,spouse,1 MARR
her brother,421,sibling,CHIL-only FAM -- no parent is invented
his wife,344,spouse,1 MARR
his brother,333,sibling,CHIL-only FAM -- no parent is invented
her sister,267,sibling,CHIL-only FAM -- no parent is invented
your mother,189,parent,"FAM, slot from the word (father HUSB, mother WIFE)"
your relative?,46,no relation stated,dropped -- nothing to represent
his adopted son,29,adopted child,FAM + 2 PEDI adopted / 1 ADOP / 3 ADOP BOTH
EMPTY,21,no relation stated,dropped -- nothing to represent
her ex-husband,18,former spouse,"1 MARR + 1 DIV (both bare; attested 536,812 / 10,260)"
his child,15,child,"FAM, slot from the possessive (his -> HUSB, her -> WIFE)"
his/her son,14,child,"FAM, slot from the possessive (his -> HUSB, her -> WIFE)"
his partner,14,spouse,FAM with no MARR -- partner asserts none
his/her parent,10,parent,"FAM, slot from the word (father HUSB, mother WIFE)"
his adoptive father,8,adoptive parent,FAM + 2 PEDI adopted / 1 ADOP / 3 ADOP BOTH
her adopted daughter,7,adopted child,FAM + 2 PEDI adopted / 1 ADOP / 3 ADOP BOTH
his ex-wife,5,former spouse,"1 MARR + 1 DIV (both bare; attested 536,812 / 10,260)"
his fiancée,4,engagement,FAM with no MARR -- no ENGA tag exists in the corpus
her fiancé,4,engagement,FAM with no MARR -- no ENGA tag exists in the corpus
his parent,4,parent,"FAM, slot from the word (father HUSB, mother WIFE)"
his/her father,4,parent,"FAM, slot from the word (father HUSB, mother WIFE)"
her child,3,child,"FAM, slot from the possessive (his -> HUSB, her -> WIFE)"
her partner,3,spouse,FAM with no MARR -- partner asserts none
her ex-partner,2,former spouse,"1 MARR + 1 DIV (both bare; attested 536,812 / 10,260)"
her adopted son,2,adopted child,FAM + 2 PEDI adopted / 1 ADOP / 3 ADOP BOTH
his adoptive mother,2,adoptive parent,FAM + 2 PEDI adopted / 1 ADOP / 3 ADOP BOTH
his adopted daughter,1,adopted child,FAM + 2 PEDI adopted / 1 ADOP / 3 ADOP BOTH
his son)doPathSearch();,1,unrecognised,"dropped -- no attested representation, needs a Forest export"
