geni_id	qid
6000000000872878006	Q1862395
6000000008176981279	Q21029009
6000000008209478282	Q21042256
6000000008209329558	Q21042259
6000000008209406512	Q21042273
6000000008209471202	Q21042284
6000000008209474398	Q21042303
6000000008177136344	Q21042307
6000000008176950946	Q21042316
6000000021966562035	Q252919
6000000174773648999	Q28924919
6000000121173167303	Q39282886
6000000000872550465	Q425612
6000000033330532168	Q45679581
6000000008176993317	Q470198
6000000008175101829	Q505257
6000000008239547690	Q505267
6000000000872817411	Q539427
6000000004051080234	Q57212
6000000008209282773	Q57225
6000000008174318768	Q57487
6000000000785786021	Q57829
6000000010200796509	Q5877731
6000000010940501866	Q5932896
6000000008175235210	Q61587
6000000076838390575	Q63107408
6000000021967256940	Q63184670
6000000004052685405	Q638391
6000000008174116051	Q66671
6000000100184394840	Q67932
6000000082251149822	Q681465
6000000082252404825	Q696000
6000000008177057453	Q710996
6000000008239521927	Q72936603
6000000015700986558	Q75854
6000000004050601595	Q76428
6000000115256265957	Q94804686
6000000016354917031	Q61830430
6000000016355921140	Q76069585
6000000016354503353	Q76069620
6000000016355312474	Q76069623
6000000016355578421	Q76069629
6000000016355820209	Q76069631
6000000016356002074	Q76069636
6000000016355580227	Q76069638
6000000016355801818	Q76069640
6000000016355631096	Q76069642
6000000016355334824	Q76069644
6000000016355086381	Q76069649
6000000016353734357	Q76069666
6000000016354141577	Q76069668
6000000016441071093	Q76069675
6000000016354038210	Q76069679
6000000016354589307	Q76069680
6000000016354693732	Q76069683
6000000016353951806	Q76069686
6000000016354941052	Q76069694
6000000016354350877	Q76069697
6000000016354674740	Q76069699
6000000016354092038	Q76069702
6000000016353970532	Q76069718
6000000016354788231	Q76069729
6000000008671437658	Q2104774
6000000008671590333	Q239062
6000000014308971850	Q2750604
6000000020663763681	Q27695
6000000014309171421	Q2918639
6000000014309256061	Q380403
6000000014309150045	Q4957793
6000000014306980440	Q512692
6000000014309246079	Q554131
6000000014309354032	Q737703
6000000008671183222	Q8023
6000000014309053239	Q887978
6000000014309027615	Q888215
6000000075506507887	Q45509975
6000000075504999564	Q45554144
6000000026683173713	Q109174866
6000000028746083821	Q11136720
6000000028745754473	Q11136728
6000000028745887613	Q11136731
6000000026683596300	Q112086087
6000000026682447423	Q112086192
6000000026683391366	Q112087845
6000000031617106797	Q112107810
6000000044009697861	Q112107880
6000000044009589139	Q112107951
6000000044009286768	Q112108029
6000000044009286784	Q112108038
6000000031617446238	Q112108063
6000000045592283888	Q112108068
6000000051864406830	Q112108079
6000000028729926201	Q112108090
6000000028745877944	Q112108114
6000000028745839100	Q112108556
6000000028745731130	Q112108610
6000000028745694620	Q112109178
6000000028745653756	Q112109211
6000000028745870209	Q112109691
6000000028745909877	Q112109708
