contrast,own_presence,neighbour_median,neighbours,geni_id,birth_year
19,3,22,2,6000000003828396277,
18,1,19,2,6000000063686672201,
17,5,22,2,6000000224652061915,1128
17,4,21,2,6000000003828375817,260
17,3,20,2,6000000001588489201,1205
17,3,20,2,6000000001588432933,1167
17,1,18,2,6000000000316685236,
16,12,28,2,6000000050735013982,
16,4,20,2,6000000054369642903,
16,2,18,2,6000000009705720665,
16,2,18,2,6000000007004390189,
16,1,17,2,6000000032170208530,1687
15,7,22,2,6000000003645877345,163
15,3,18,2,6000000039436694035,1190
15,2,17,2,6000000041220956448,
15,2,17,2,6000000010649677325,
15,2,17,2,6000000002188305864,1220
15,1,16,2,6000000006862172450,-85
15,1,16,2,6000000003828396623,405
15,1,16,2,6000000003828396617,400
14,10,24,4,6000000006101312601,
14,8,22,4,6000000041409592712,
14,8,22,2,6000000002322323308,1070
14,8,22,2,6000000002322323300,1050
14,7,21,2,6000000009298833123,
14,2,16,2,6000000041188833635,
14,2,16,2,6000000007171767393,
14,1,15,2,6000000041304011165,
14,1,15,2,6000000041303977074,-5
14,1,15,2,6000000041250333859,
14,1,15,2,6000000041250172060,
14,1,15,2,6000000041189699488,
13,9,22,2,6000000041282875880,
13,9,22,2,6000000041282398716,
13,9,22,2,6000000017236897588,
13,9,22,2,6000000017236584594,
13,9,22,2,6000000012888098731,
13,9,22,2,6000000010098498426,
13,9,22,2,6000000010098205660,
13,9,22,2,6000000003645890353,
13,9,22,2,6000000003645890348,
13,9,22,2,6000000000316720465,280
13,8,21,6,6000000012514248351,
13,8,21,2,6000000024878247779,115
13,8,21,2,6000000024878247773,115
13,7,20,4,6000000002187631028,290
13,6,19,2,6000000065111059072,1040
13,6,19,2,6000000003112708544,
13,5,18,2,6000000063333481023,
13,5,18,2,6000000006405662023,
13,3,16,4,6000000002188289077,-76
13,3,16,2,6000000225496837893,
13,3,16,2,6000000117127800088,455
13,3,16,2,6000000041189058332,
13,3,16,2,6000000031962881941,1165
13,3,16,2,6000000014833790738,-41
13,3,16,2,6000000002188289266,
13,3,16,2,4353502,
13,2,15,2,6000000003513119717,
13,2,15,2,6000000002187600278,
13,1,14,2,6000000041236178913,
13,1,14,2,6000000041235816611,
