batch	entries	shape
reports/wikidata-marker-label-fixes.json	56369	edit objects
reports/wikidata-orderlife.json	54344	edit objects
reports/wikidata-ja-labels.json	41952	edit objects
reports/wikidata-placeholder-labels.json	39691	edit objects
reports/wikidata-structural-placeholders.json	35118	edit objects
reports/wikidata-en-labels.json	22373	edit objects
reports/wikidata-patronymic-fathers.json	21303	edit objects
reports/wikidata-mul-labels.json	14972	edit objects
reports/wikidata-name-items.json	13320	edit objects
reports/wikidata-structural-correspondence.json	3719	edit objects
reports/wikidata-nn-labels.json	3525	edit objects
reports/wikidata-garborg-day.qs	1716	108 creations + 1608 statements
reports/wikidata-join-izumo.qs	400	400 statements
reports/wikidata-garborg-name-items.qs	396	99 creations + 297 statements
reports/wikidata-geni-qid-p2600.qs	354	354 statements
reports/wikidata-garborg-links.qs	127	127 statements
reports/wikidata-trunk-batch.json	118	edit objects
reports/wikidata-samaritan-priests.json	76	edit objects
reports/wikidata-add-geni-id.json	69	edit objects
reports/wikidata-add-geni-id.qs	69	69 statements
reports/wikidata-garborg-label-fixes.qs	40	40 statements
reports/wikidata-samaritan-succession.json	21	edit objects
reports/wikidata-orderlife-identifiers.json	12	edit objects
reports/wikidata-entity-resolution.json	10	edit objects
reports/wikidata-samaritan-links.json	9	edit objects
reports/wikidata-bureatten-p2600.qs	7	7 statements
reports/wikidata-abram-father.json	2	edit objects
reports/wikidata-izumo-beyond-chart.json	1	edit objects
reports/wikidata-join-garborg-links.qs	0	0 statements
