when	session	kind	text
2026-08-31T04:30:46.637Z	409c566f	enqueued	Okay, what even is this discussion about? Oh my, what? I just don't know what's going on with this thing here. Whatever it is that you're working on, I'd like you to explain what it is you're working on because I have no idea what it is, but it doesn't sound useful.
2026-08-31T04:28:53.129Z	409c566f	enqueued	How much of the queue is there? Much of the queue is around. I'm really trying to get through this queue.
2026-08-31T04:27:10.218Z	409c566f	typed	Barrel through the queue
2026-08-31T04:27:10.200Z	409c566f	enqueued	Barrel through the queue
2026-08-31T04:26:31.114Z	409c566f	enqueued	What the fuck why did they disappear I was waiting on them
2026-08-31T04:25:59.988Z	409c566f	typed	Uhh did the crons stop
2026-08-31T04:25:59.960Z	409c566f	enqueued	Uhh did the crons stop
2026-08-31T03:00:43.741Z	409c566f	typed	Continue
2026-08-31T03:00:43.714Z	409c566f	enqueued	Continue
2026-08-31T02:11:34.010Z	409c566f	typed	Continue
2026-08-31T02:11:33.977Z	409c566f	enqueued	Continue
2026-08-31T01:53:40.840Z	409c566f	typed	Yeah add the new gedcom(s) into the repo and commit and push, and then move onto the next queue item
2026-08-31T01:53:40.823Z	409c566f	enqueued	Yeah add the new gedcom(s) into the repo and commit and push, and then move onto the next queue item
2026-08-31T01:49:54.921Z	409c566f	enqueued	I didn’t think it would be so bad
2026-08-31T01:49:04.636Z	409c566f	enqueued	Ehh yeah at this point i think the key thing is just to give up. We have all these people, edit the spine removal queue item to say to make these people the only new spine with the rule being different because any of them is always added whenever possible from any side including the middle, and then just finish this task
2026-08-31T01:40:40.765Z	409c566f	enqueued	There’s no blood path
2026-08-31T01:40:33.258Z	409c566f	typed	Ehh do a forest export with a seed from the midpoint of the two anyway to add density.
2026-08-31T01:40:33.226Z	409c566f	enqueued	Ehh do a forest export with a seed from the midpoint of the two anyway to add density.
2026-08-31T01:30:52.186Z	409c566f	typed	Hello, you. Something I would consider to be a particularly weird thing we could theoretically do, but I'm personally not inclined to do it. I guess I would say, personally, I don't think that many people are going to be that concerned with  ⏎  ⏎ Yeah, that would actually be an interesting thing. There is a simple thing which I think I told you to do, but then you kind of didn't do it. There was a thing that I think I told you to do, or I planned on doing, and we didn't do it. ⏎  ⏎ You can go through the graph traversal on Geni. I don't know if the descendants of that person are here, but I would say: ⏎ - Going from Johannes Berius to our art ⏎ - Going from Burius to Gar to Arnie ⏎  ⏎  ⏎ Get the path between the two of them so you can get this on Geni using the browser, going through the UI to get to it, and asking for it. You pin the relationship to Arnie, and then you go to various. You can request the relationship between them, and it'll give the relationship in both blood and marriage, wherever the relationship between them goes through that is through blood. ⏎  ⏎ The idea here would be we will run our export system on the people very comprehensively.  ⏎  ⏎ Across both of them, we will run it very comprehensively, in the sense of basically doing the create placeholder ancestor and doing the forest export on the mid-planks of both the in-law and the other one, and the in-law and the blood. That'll clear a bit on each one, likely dividing each into four segments that are each done in this way and so on and so on. ⏎  ⏎ In addition to this, we'd also be treating both of those as being spines to be filled in. I'm going to ask the question here of how much we have to do the exporting over wiki from Geni in this way to get them here in this way. That's kind of the most maximal depth, in this way, getting the neighbourhood that's away from that between the two of them and me. ⏎  ⏎ I'm going to say we'd be doing the spine whenever any individual is in the spine. In this case, we're treating it as being over a ring, or treating it as a ring here. If any of these individuals are able to be added, they get added, and then it's introduced. This would be the thing that would match rather dense areas or be embedded within rather dense areas. Likely, there will be many paths that are built between them, but just these two are the ones that are built.
2026-08-31T01:30:52.152Z	409c566f	enqueued	Hello, you. Something I would consider to be a particularly weird thing we could theoretically do, but I'm personally not inclined to do it. I guess I would say, personally, I don't think that many people are going to be that concerned with  ⏎  ⏎ Yeah, that would actually be an interesting thing. There is a simple thing which I think I told you to do, but then you kind of didn't do it. There was a thing that I think I told you to do, or I planned on doing, and we didn't do it. ⏎  ⏎ You can go through the graph traversal on Geni. I don't know if the descendants of that person are here, but I would say: ⏎ - Going from Johannes Berius to our art ⏎ - Going from Burius to Gar to Arnie ⏎  ⏎  ⏎ Get the path between the two of them so you can get this on Geni using the browser, going through the UI to get to it, and asking for it. You pin the relationship to Arnie, and then you go to various. You can request the relationship between them, and it'll give the relationship in both blood and marriage, wherever the relationship between them goes through that is through blood. ⏎  ⏎ The idea here would be we will run our export system on the people very comprehensively.  ⏎  ⏎ Across both of them, we will run it very comprehensively, in the sense of basically doing the create placeholder ancestor and doing the forest export on the mid-planks of both the in-law and the other one, and the in-law and the blood. That'll clear a bit on each one, likely dividing each into four segments that are each done in this way and so on and so on. ⏎  ⏎ In addition to this, we'd also be treating both of those as being spines to be filled in. I'm going to ask the question here of how much we have to do the exporting over wiki from Geni in this way to get them here in this way. That's kind of the most maximal depth, in this way, getting the neighbourhood that's away from that between the two of them and me. ⏎  ⏎ I'm going to say we'd be doing the spine whenever any individual is in the spine. In this case, we're treating it as being over a ring, or treating it as a ring here. If any of these individuals are able to be added, they get added, and then it's introduced. This would be the thing that would match rather dense areas or be embedded within rather dense areas. Likely, there will be many paths that are built between them, but just these two are the ones that are built.
2026-08-31T01:20:35.129Z	409c566f	typed	Okay, I think this makes sense. I think I get what it is. There are two different big clusters: ⏎ - the cluster coming from R and E ⏎ - the Boo-ray cluster ⏎  ⏎  ⏎ I'm kind of at the end of two filaments coming from it. I feel like this might be a waste of time, but I'm just going to say I'm going to go for it because, why the heck not? ⏎  ⏎ The weird thing about me is that I'm at a convergence of two filaments, and because I'm at a convergence of two filaments, it kind of looks a bit strange. I'm technically at a convergence of three filaments. I am eccentric on the graph because, as it stands right now, I'm eccentric on the graph because of this fact. ⏎  ⏎ My expectation, personally, but I'm not 100% sure about it, is that I am not that eccentric. My expectation here is basically that if we were to combine a BFS from Johannes Burius, a BFS from Arnie, and a BFS from me, if we were to combine those combined DFSs from all of them, my expectation here is that I wouldn't have this degree of eccentricity and probably also will not be considered central. I'm just saying VFS of 5000 because why not, but these BFSS, just to be clear, go on the synoptic tree, not on the wikidata stuff. ⏎  ⏎ The reason for this is pretty simple: it's because of the fact that, over time, wikidata is going to converge to our synoptic tree. I'd like you to try to test that. Although one thing that is a bit worth noting is, speed-wise, I believe the highest-probability stuff for any given time is going to be the V-Ray people getting edited, and then after that, army people, and then my people. The particular reason why I actually did three spines to me instead of one is actually specifically because three spines makes it less eccentric.
2026-08-31T01:20:35.095Z	409c566f	enqueued	Okay, I think this makes sense. I think I get what it is. There are two different big clusters: ⏎ - the cluster coming from R and E ⏎ - the Boo-ray cluster ⏎  ⏎  ⏎ I'm kind of at the end of two filaments coming from it. I feel like this might be a waste of time, but I'm just going to say I'm going to go for it because, why the heck not? ⏎  ⏎ The weird thing about me is that I'm at a convergence of two filaments, and because I'm at a convergence of two filaments, it kind of looks a bit strange. I'm technically at a convergence of three filaments. I am eccentric on the graph because, as it stands right now, I'm eccentric on the graph because of this fact. ⏎  ⏎ My expectation, personally, but I'm not 100% sure about it, is that I am not that eccentric. My expectation here is basically that if we were to combine a BFS from Johannes Burius, a BFS from Arnie, and a BFS from me, if we were to combine those combined DFSs from all of them, my expectation here is that I wouldn't have this degree of eccentricity and probably also will not be considered central. I'm just saying VFS of 5000 because why not, but these BFSS, just to be clear, go on the synoptic tree, not on the wikidata stuff. ⏎  ⏎ The reason for this is pretty simple: it's because of the fact that, over time, wikidata is going to converge to our synoptic tree. I'd like you to try to test that. Although one thing that is a bit worth noting is, speed-wise, I believe the highest-probability stuff for any given time is going to be the V-Ray people getting edited, and then after that, army people, and then my people. The particular reason why I actually did three spines to me instead of one is actually specifically because three spines makes it less eccentric.
2026-08-31T01:13:36.309Z	409c566f	typed	Yep.  ⏎  ⏎ My thought here is basically the Bergitte stuff connects to general royalty, it is a very obvious spine thing but as more ancestors  ⏎  ⏎ I will ask though, what makes terminal people like Arne Garborg less eccentric?
2026-08-31T01:13:36.282Z	409c566f	enqueued	Yep.  ⏎  ⏎ My thought here is basically the Bergitte stuff connects to general royalty, it is a very obvious spine thing but as more ancestors  ⏎  ⏎ I will ask though, what makes terminal people like Arne Garborg less eccentric?
2026-08-31T01:03:10.241Z	409c566f	typed	Okay so my max eccentricity isn’t necessarily a good thing.  ⏎  ⏎ But Bergitte does connect to the outside world lol. It might not register to you but she does she’s a link to Charlemagne
2026-08-31T01:03:10.216Z	409c566f	enqueued	Okay so my max eccentricity isn’t necessarily a good thing.  ⏎  ⏎ But Bergitte does connect to the outside world lol. It might not register to you but she does she’s a link to Charlemagne
2026-08-31T00:47:55.610Z	409c566f	typed	Hmm great! How many links into the global genealogy graph? I’m gonna guess the one from Bergitte is the big one but there are likely others particularly around the bure clan ⏎  ⏎ Probably it is gonna get better connected pretty fast with bure people imo ⏎  ⏎ But what does maximum eccentricity mean?  ⏎  ⏎ Imo run a geni export of forest from Anna Ingebretsdatter because that will fluff out the graph a bit more. My guess is there won’t be much more people but it will def move the focus from me.  ⏎  ⏎  ⏎ Actually better: descendant export on this person I made https://www.geni.com/people/NN-Voster/6000000227513637856 as he is an ancestor I created of her that’s also not even a blood relative of mine. Importing his descendants as a tree into this will give a large bulk of people that moves the centre away from me.
2026-08-31T00:47:55.579Z	409c566f	enqueued	Hmm great! How many links into the global genealogy graph? I’m gonna guess the one from Bergitte is the big one but there are likely others particularly around the bure clan ⏎  ⏎ Probably it is gonna get better connected pretty fast with bure people imo ⏎  ⏎ But what does maximum eccentricity mean?  ⏎  ⏎ Imo run a geni export of forest from Anna Ingebretsdatter because that will fluff out the graph a bit more. My guess is there won’t be much more people but it will def move the focus from me.  ⏎  ⏎  ⏎ Actually better: descendant export on this person I made https://www.geni.com/people/NN-Voster/6000000227513637856 as he is an ancestor I created of her that’s also not even a blood relative of mine. Importing his descendants as a tree into this will give a large bulk of people that moves the centre away from me.
