token	ja	zh	ko	note
'af	アフ	阿夫	아프	by rule
'Ali	アリ	阿利	아리	by rule
'Amar	アマル	阿马尔	아마르	by rule
'Amr	アムル	阿姆尔	암르	by rule
'Betote'	ベトテ	贝托特	베토테	by rule
'Bâtarde'	バタルデ	巴塔尔德	바타르데	by rule
'de	デ	德	데	by rule
'den	デン	登	덴	by rule
'Don	ドン	东	돈	by rule
'el	エル	埃尔	엘	by rule
'Fébus'	フェブス	费布斯	페부스	by rule
'Gugy'	グギ	古吉	구기	by rule
'Habibai'	ハビバイ	哈比巴伊	하비바이	by rule
'háls'	ハルス	哈尔斯	할스	by rule
'il	イル	伊尔	일	by rule
'Javanshir'	ヤヴァンスヒル	雅万斯希尔	자반시르	by rule
'Judah	ユダ	尤达	주다흐	by rule
'le	レ	莱	레	by rule
'Le	レ	莱	레	by rule
'lo	ロ	洛	로	by rule
'Louis'	ロウイス	洛乌伊斯	루이스	by rule
'Magnus'	マグヌス	马格努斯	막누스	by rule
'Majus'	マユス	马尤斯	마주스	by rule
'Manido'	マニド	马尼多	마니도	by rule
'o	オ	奥	오	by rule
'Rab	ラブ	拉布	랍	by rule
'Rodolphe'	ロドルプヘ	罗多尔普赫	로돌페	by rule
'Sans-Peur’	サンスペウル	桑斯佩乌尔	산스퓨르	by rule
'Taillefer'	タイレフェル	塔伊莱费尔	타일레페르	by rule
'The	テ	特	테	by rule
'the	テ	特	테	by rule
'til	ティル	蒂尔	틸	by rule
'Unræd'	ウンレド	温雷德	운래드	by rule
'él	エル	埃尔	엘	by rule
-kahuripan	カフリパン	卡胡里潘	카후리판	by rule
-Kalingga	カリングガ	卡林加	카리아	by rule
-Majapahit	マヤパヒト	马雅帕希特	마자파히트	by rule
-Mataram	マタラム	马塔拉姆	마타람	by rule
-medang	メダング	梅丹	메당	by rule
-Persia	ペルシア	佩尔西阿	페르시아	by rule
-Sassanid	ササニド	萨萨尼德	사사니드	by rule
-Vijayanegara	ヴィヤヤネガラ	维雅雅内加拉	비자야네가라	by rule
....				by rule
...some	ソメ	索梅	소메	by rule
.Peder	ペデル	佩德尔	페데르	by rule
.Stangeland	スタンゲランド	斯坦盖兰德	스타에란드	by rule
A	A	A	아	attested on Wikidata (ja 146x, zh 28x)
a	ア	阿	아	by rule
A.	ア	阿	아	by rule
A.B.D	アブド	阿布德	압드	by rule
A.B.D.	アブド	阿布德	압드	by rule
a.d.H.	アド	阿德	아드흐	by rule
Aabed-El	オーベドエル	奥贝德埃尔	아아베델	by rule
Aabjørnsrød	オーブヨルンスロド	奥布约尔恩斯罗德	아압죄르느스뢰드	by rule
Aabø	オーベー	奥贝	아아뵈	farm name; Aa = å
Aadne	オードネ	奥德内	아아드네	variant of Ådne
Aadnesson	オードネソン	奥德内松	아아드네손	patronymic
Aage	オーエ	奥盖	아아게	attested on Wikidata (ja 2x, zh 0x)
Aagesen	オーゲセン	奥盖森	아아게센	composed by rule: Aage + -sen
Aagot	オーゴット	奥高特	아아고트	
Aaharon	オーハロン	奥哈龙	아아하론	by rule
Aake	オーケ	奥凯	아아케	by rule
AAland	オーランド	奥兰德	아아란드	by rule
Aale	オーレ	奥莱	아아레	by rule
Aalgaard	オールゴールド	奥尔戈尔德	아알가아르드	by rule
Aalstrup	オールストルプ	奥尔斯特鲁普	아알스트루프	by rule
Aamli	オームリ	奥姆利	아암리	by rule
Aamodt	オーモット	奥莫德特	아아모드트	attested on Wikidata (ja 2x, zh 0x)
Aanen	オーネン	奥嫩	아아넨	by rule
Aanenson	オーネンソン	奥嫩松	아아넨손	composed by rule: Aanen + -son
Aanestand	オーネスタンド	奥内斯坦德	아아네스탄드	by rule
Aang	オーング	翁	아앙	by rule
Aarhus	オールフス	奥尔胡斯	아아르후스	by rule
Aarne	アールネ	阿尔内	아아르네	attested on Wikidata (ja 5x, zh 2x)
Aaron	アーロン	阿龙	아아론	attested on Wikidata (ja 61x, zh 6x)
Aarseth	オールセト	奥尔塞特	아아르세트	by rule
Aarsvold	オールスヴォルド	奥尔斯沃尔德	아아르스볼드	by rule
Aartun	オールトン	奥尔通	아아르툰	by rule
Aas	オース	奥斯	아아스	by rule
Aase	オーセ	奥塞	아아세	by rule
Aasen	オーセン	奥森	아아센	composed by rule: Aa + -sen
Aasland	オースランド	奥斯兰德	아아스란드	by rule
Aasmundsen	オースムンドセン	奥斯蒙德森	아아스문드센	composed by rule: Aasmund + -sen
Aastorp	オーストルプ	奥斯托尔普	아아스토르프	by rule
AAT	オート	奥特	아아트	by rule
ab	アブ	阿布	압	by rule
Ab-Hisda	アブヒスダ	阿布希斯达	압히스다	by rule
Abade	アバデ	阿巴德	아바데	by rule
abade	アバデ	阿巴德	아바데	by rule
Abah	アバ	阿巴	아바흐	by rule
Aballantes	アバランテス	阿巴兰特斯	아발란테스	by rule
Aban	アバン	阿班	아반	by rule
Abarbanel	アバルバネル	阿巴尔巴内尔	아바르바넬	by rule
Abas	アバス	阿巴斯	아바스	by rule
Abba	アッバ	阿巴	아바	attested on Wikidata (ja 5x, zh 0x)
abbadessa	アバデサ	阿巴德萨	아바데사	by rule
Abbadid	アバディド	阿巴迪德	아바디드	by rule
Abbah	アバ	阿巴	아바흐	by rule
Abbas	アッバース	阿巴斯	아바스	attested on Wikidata (ja 6x, zh 6x)
Abbassgholi	アバスグホリ	阿巴斯格霍利	아바스고리	by rule
Abbe	アッベ	阿贝	아베	attested on Wikidata (ja 3x, zh 0x)
Abbess	アベス	阿贝斯	아베스	by rule
abbess	アベス	阿贝斯	아베스	by rule
Abbey	アビー	艾比	아베이	attested on Wikidata (ja 3x, zh 2x)
Abbotsbury	アボトスブリ	阿博特斯布里	아보츠부리	by rule
abbé	アベ	阿贝	아베	by rule
Abcoude	アブコウデ	阿布科乌德	압쿠데	by rule
ABD	アブド	阿布德	압드	by rule
Abd	アブド	阿卜杜	압드	attested on Wikidata (ja 6x, zh 5x)
Abd.	アブド	阿布德	압드	by rule
Abdi	アブディ	阿布迪	압디	by rule
Abdiel	アブディエル	阿布迪埃尔	압디엘	by rule
Abdoel	アブドエル	阿布多埃尔	압될	by rule
Abdoellah	アブドエラ	阿布多埃拉	압될라흐	by rule
Abdoerachman	アブドエラクマン	阿布多埃拉克曼	압되라츠만	by rule
ABDUL	アブドル	阿布杜尔	압둘	by rule
Abdul	アブドゥル	阿卜杜勒	압둘	attested on Wikidata (ja 19x, zh 7x)
Abdulah	アブドラ	阿布杜拉	압두라흐	by rule
Abdullaah	アブドロー	阿布杜洛	압둘라아흐	by rule
ABDULLAH	アブドラ	阿布杜拉	압둘라흐	by rule
Abdullah	アブドゥッラー	阿卜杜拉	압둘라흐	attested on Wikidata (ja 12x, zh 8x)
Abdulmajid	アブドルマイド	阿布杜尔马伊德	압둘마지드	by rule
Abdulrachman	アブドルラクマン	阿布杜尔拉克曼	압둘라츠만	by rule
Abdur	アブドゥル	阿布杜尔	압두르	attested on Wikidata (ja 2x, zh 0x)
Abdurachman	アブドラクマン	阿布杜拉克曼	압두라츠만	by rule
Abdurrohman	アブドロマン	阿布杜罗曼	압두르로흐만	by rule
Abeba	アベバ	阿贝巴	아베바	by rule
Abebe	アベベ	阿贝贝	아베베	by rule
Abeele	アベエレ	阿贝埃莱	아비레	by rule
Abel	アベル	阿贝尔	아벨	attested on Wikidata (ja 20x, zh 5x)
Abelard	アベラルド	阿贝拉尔德	아베라르드	by rule
Abele	エベール	阿贝莱	아베레	attested on Wikidata (ja 2x, zh 0x)
Abelsdatter	アベルスダッテル	阿贝尔斯达特	아벨스다테르	composed by rule: Abels + -datter
Abera	アベラ	阿贝拉	아베라	by rule
Aberdam	アベルダム	阿贝尔达姆	아베르담	by rule
Aberehet	アベレヘト	阿贝雷赫特	아베레헤트	by rule
Aberle-Abraham	アベルレアブラハム	阿贝尔莱阿布拉哈姆	아베르레아브라함	by rule
Abertanal	アベルタナル	阿贝尔塔纳尔	아베르타날	by rule
Abgar	アブガル	阿布加尔	압가르	by rule
Abha	アブハ	阿布哈	압하	by rule
Abi	アビー	阿比	아비	attested on Wikidata (ja 9x, zh 15x)
Abidin	アビディン	阿比丁	아비딘	by rule
Abie	アビエ	阿比埃	아비에	by rule
Abiel	エビエル	阿比埃尔	아비엘	attested on Wikidata (ja 2x, zh 0x)
Abildgaard	アビルゴール	阿比尔德戈尔德	아빌드가아르드	attested on Wikidata (ja 5x, zh 0x)
