kind,name,occurrences,verdict,qid
family,Webster,490,RESOLVED,Q21484845
family,Rosenkrantz,210,RESOLVED,Q30574091
family,Landau,188,still ambiguous,Q1127822 | Q21286163
family,Wertheim,136,RESOLVED,Q20998264
family,Schloss,107,still ambiguous,Q105540652 | Q37300956
family,de Castro,104,RESOLVED,Q99662413
family,Tu,104,still ambiguous,Q11151574 | Q4464775
family,Lang,95,still ambiguous,Q16871816 | Q4253694 | Q65925450
family,Strauss,88,still ambiguous,Q10450274 | Q15731389
family,Lee,80,still ambiguous,Q11983535 | Q12794688
family,da Silva,79,RESOLVED,Q66385622
family,de Sousa,69,still ambiguous,Q55739047 | Q99908123
family,Whitney,67,RESOLVED,Q17144522
family,Pappenheim,63,RESOLVED,Q21492287
family,de Sabran,61,RESOLVED,Q99908086
family,Cohen,60,still ambiguous,Q1158586 | Q66723764
family,Salomon,55,RESOLVED,Q16029694
family,Tachibana,52,still ambiguous,Q16884158 | Q26216117
family,Stafford,47,RESOLVED,Q28654382
family,Oliver,45,RESOLVED,Q16931215
family,Murray,44,RESOLVED,Q1308329
family,LEE,44,still ambiguous,Q11983535 | Q12794688
family,Komnenos,41,RESOLVED,Q80702611
family,Mervyn,36,RESOLVED,Q36908460
family,Rodríguez,33,still ambiguous,Q1654058 | Q63315319
family,Bagrationi,28,RESOLVED,Q80881259
family,Tracy,28,RESOLVED,Q28034953
family,d'Este,27,RESOLVED,Q105701477
family,Strauß,27,still ambiguous,Q10450274 | Q15731389
family,Dal,27,still ambiguous,Q16726211 | Q30250614
family,Sheffield,25,RESOLVED,Q16883153
family,Reiss,25,still ambiguous,Q15725918 | Q60170844
family,Abel,24,RESOLVED,Q318363
family,Rich,24,RESOLVED,Q16882049
family,Bu,23,still ambiguous,Q11123724 | Q39747949 | Q4097588
family,FitzGerald,23,still ambiguous,Q16466739 | Q55550590
family,Bure,22,still ambiguous,Q11335012 | Q25114667
family,TAN,22,still ambiguous,Q2354177 | Q65925905
family,Hyde,22,RESOLVED,Q16148536
family,Borjigin,22,RESOLVED,Q57275276
family,Fitzgerald,20,still ambiguous,Q16466739 | Q55550590
family,Willard,19,RESOLVED,Q16282629
family,Hungerford,19,RESOLVED,Q19902478
family,Hess,19,still ambiguous,Q21482735 | Q57661293
family,de Mol,19,RESOLVED,Q117829186
family,Levin,18,still ambiguous,Q14959634 | Q48874254
family,Lazarus,18,RESOLVED,Q26775128
family,FitzRoy,18,still ambiguous,Q21233885 | Q92288868
family,Mordaunt,18,RESOLVED,Q27450587
family,Ferguson,16,RESOLVED,Q2694490
family,de Salazar,15,RESOLVED,Q99944968
family,Arnold,15,RESOLVED,Q694764
family,da Costa,15,still ambiguous,Q23038711 | Q63677459
family,Brooke,14,RESOLVED,Q16860538
family,Boije af Gennäs,11,RESOLVED,Q125384388
family,Schloß,11,still ambiguous,Q105540652 | Q37300956
family,Erbach,11,RESOLVED,Q37475286
family,Cushman,10,RESOLVED,Q19839042
family,Wrangel,10,RESOLVED,Q35930488
family,Angelina,10,still ambiguous,Q117209889 | Q37549674
family,FitzWilliam,10,no item of that kind,
family,Stephens,10,RESOLVED,Q16473357
family,de Mesquita,10,still ambiguous,Q101038014 | Q130724081
family,de Brancas,9,RESOLVED,Q16869439
family,Landa,9,still ambiguous,Q15052031 | Q62603262
family,Moon,8,still ambiguous,Q16877383 | Q18128173
family,Gross,8,still ambiguous,Q14290163 | Q57645534
family,Astley,8,RESOLVED,Q28648920
family,Romanov,7,still ambiguous,Q10854295 | Q28753162
family,Tan,7,still ambiguous,Q2354177 | Q65925905
family,Shimazu,7,still ambiguous,Q21489162 | Q26231124 | Q81730867
family,Angress,7,still ambiguous,Q105975011 | Q107527023
family,Park,7,still ambiguous,Q20007284 | Q715935
family,Orseolo,6,RESOLVED,Q125964559
family,Bruce,6,RESOLVED,Q16860571
family,Duvall,6,RESOLVED,Q16869731
family,van Egmond,6,no item of that kind,
family,Dadiani,6,RESOLVED,Q65556476
family,Heß,6,still ambiguous,Q21482735 | Q57661293
family,van Horne,6,RESOLVED,Q115054068
family,Haussmann,6,still ambiguous,Q1591313 | Q74081542
family,Ling,6,still ambiguous,Q16872185 | Q4261869
family,Macdonald,6,still ambiguous,Q2778569 | Q52984204
family,Hayashi,6,still ambiguous,Q279372 | Q65683742
family,de SABRAN,5,RESOLVED,Q99908086
family,de Zúñiga,5,still ambiguous,Q133254410 | Q99981154
family,Wyndham,4,RESOLVED,Q16282683
family,du Bois,4,RESOLVED,Q104814589
family,Mackay,4,still ambiguous,Q21506751 | Q63978307
family,della Rovere,4,RESOLVED,Q127686689
family,de Nanteuil,4,RESOLVED,Q104540557
family,De Heredia,4,RESOLVED,Q101014686
family,HUANG,4,still ambiguous,Q65925581 | Q845104 | Q93273838
family,Lowell,4,RESOLVED,Q16872554
family,van Aalst,3,RESOLVED,Q120886576
family,DE BRANCAS,3,RESOLVED,Q16869439
family,CHEN,3,still ambiguous,Q30946179 | Q40713504 | Q804988
family,Pruss,3,still ambiguous,Q37491734 | Q83495364
family,Tribe,3,RESOLVED,Q37132760
family,Helfenstein,3,RESOLVED,Q37573154
family,PANG,3,still ambiguous,Q17061634 | Q869739
family,Weinsberg,3,RESOLVED,Q98221076
family,MacWilliam,3,still ambiguous,Q105623240 | Q36873851
family,Allan,3,RESOLVED,Q29471844
family,Long,3,still ambiguous,Q10786776 | Q2772822
