qid	slot	value	first_emitted
Q141168784	Amul	Aagot Garborg	2026-08-29
Q141168784	Lmul	Aagot Wendt	2026-08-29
Q141168784	Len	Aagot Wendt	2026-08-29
Q141168784	Lja	オーゴット・ヴェント	2026-08-29
Q141168784	Lzh	奥高特·温特	2026-08-29
Q141168830	Amul	Ingeborg Garborg	2026-08-29
Q141168830	Lmul	Ingeborg Talle	2026-08-29
Q141168830	Len	Ingeborg Talle	2026-08-29
Q141168830	Lja	インゲボルグ・タッレ	2026-08-29
Q141168830	Lzh	英厄堡·塔勒	2026-08-29
Q141198834	Amul	Gunnbjørn Jonson Aukland	2026-08-29
Q141198834	Lmul	Gunnbjørn Jonson Mjølhus	2026-08-29
Q141198834	Len	Gunnbjørn Jonson Mjølhus	2026-08-29
Q141198834	Lja	グンブヨルン・ヨンソン・ムヨルフス	2026-08-29
Q141198834	Lzh	古恩布永尔恩·永松·姆永尔胡斯	2026-08-29
Q141198835	Amul	Bergitte Gunnbjørnsdatter Tengs	2026-08-29
Q141198835	Lmul	Bergitte Gunnbjørnsdatter Aukland	2026-08-29
Q141198835	Len	Bergitte Gunnbjørnsdatter Aukland	2026-08-29
Q141198835	Lja	ベルギテ・グンブヨルンスダッテル・アウクランド	2026-08-29
Q141198835	Lzh	贝尔吉特·古恩布永尔恩斯达特·奥克拉恩德	2026-08-29
Q141205942	Amul	Tore Gardson Gardsson	2026-08-29
Q141205942	Lmul	Tore II Gardson Gard	2026-08-29
Q141205942	Len	Tore II Gardson Gard	2026-08-29
Q141205942	Lja	トレ・イイ・ガルドソン・ガルド	2026-08-29
Q141205942	Lzh	托雷·伊伊·加尔德松·加尔德	2026-08-29
Q19657284	Amul	Buyeo Deokjang	2026-08-29
Q19657284	Lmul	Deokjang Buyeo	2026-08-29
Q19657284	Len	Deokjang Buyeo	2026-08-29
Q19657284	Lja	デオヒャング・プヨ	2026-08-29
Q19657284	Lzh	德奥希恩格·扶余	2026-08-29
Q2075113	Amul	Hedvig Ulrika De la Gardie	2026-08-29
Q2075113	Lmul	Hedvig Ulrika Armfelt	2026-08-29
Q2075113	Len	Hedvig Ulrika Armfelt	2026-08-29
Q2075113	Lja	ヘドヴィグ・ウルリカ・アルムフェルト	2026-08-29
Q2075113	Lzh	海德维格·乌尔里卡·阿尔姆费尔特	2026-08-29
Q5735890	Amul	Arvid Forbus	2026-08-29
Q5735890	Lmul	Arvid Ernaldsson Forbus till Kumo	2026-08-29
Q5735890	Len	Arvid Ernaldsson Forbus till Kumo	2026-08-29
Q5735890	Lja	アルヴィド・エルナルドソン・フォルブス・ティル・クモ	2026-08-29
Q5735890	Lzh	阿尔维德·埃尔纳尔德松·福尔布斯·蒂尔·库莫	2026-08-29
Q141168785	Lja	オーゴット・ガルボルグ	2026-08-29
Q141168785	Lzh	奥高特·加尔博格	2026-08-29
Q141168787	Lja	アルマ・マチルダ・ブリング・イーヴェション	2026-08-29
Q141168787	Lzh	阿尔玛·玛蒂尔达·布林·艾弗森	2026-08-29
Q141168794	Lja	ベッツィ・トゥンヘイム	2026-08-29
Q141168794	Lzh	贝齐·通海姆	2026-08-29
Q141168801	Lja	コーラ・エステル・ピアソン	2026-08-29
Q141168801	Lzh	科拉·埃斯特尔·皮尔森	2026-08-29
Q141168803	Lja	ダグニー・ガルボルグ	2026-08-29
Q141168803	Lzh	达格妮·加尔博格	2026-08-29
Q141168816	Lja	エリサベート・オードネスダッテル・ベー	2026-08-29
Q141168816	Lzh	伊丽莎白·奥德内斯达特·贝	2026-08-29
Q141169072	Lja	オードネ・オルセン・ガルボルグ	2026-08-29
Q141169072	Lzh	奥德内·奥尔森·加尔博格	2026-08-29
Q141178197	Lja	エリーサベト・ニーヴォル	2026-08-29
Q141178197	Lzh	伊丽莎白·尼沃尔	2026-08-29
Q141180408	Lja	ヨン・ラーション・メレ	2026-08-29
Q141180408	Lzh	永·拉尔松·梅莱	2026-08-29
Q141180409	Lja	マグダレーナ・アンデシュドッテル	2026-08-29
Q141180409	Lzh	玛格达莱娜·安德斯多特	2026-08-29
Q141180412	Lja	マルタ・ラスムスダッテル・リ	2026-08-29
Q141180412	Lzh	玛尔塔·拉斯穆斯达特·李	2026-08-29
Q141180413	Lja	トーマス・マティエ	2026-08-29
Q141180413	Lzh	托马斯·马蒂埃	2026-08-29
Q141189076	Lja	クリスティアン・ラーシェン・セール・レイメ	2026-08-29
Q141189076	Lzh	克里斯蒂安·拉尔森·瑟尔·雷梅	2026-08-29
Q141189081	Lja	ロッテ・ビルギーテ・グスタヴァ・ヨナスダッテル・レア	2026-08-29
Q141189081	Lzh	洛特·比尔吉特·古斯塔娃·约纳斯达特·莱阿	2026-08-29
Q141189083	Lja	マルタ・エリーダ・フレニング	2026-08-29
Q141189083	Lzh	玛尔塔·埃利达·夫雷尼恩格	2026-08-29
Q141189104	Lja	シーリ・クリスティーネ・イーヴァシュダッテル・ガルボルグ	2026-08-29
Q141189104	Lzh	西丽·克丽丝汀·伊瓦斯达特·加尔博格	2026-08-29
Q141189108	Lja	ティリー・ベッツィ・アムンドソン	2026-08-29
Q141189108	Lzh	蒂莉·贝齐·阿穆恩德松	2026-08-29
Q141189112	Lja	ヴィルヘルミーネ・ソフィー・クリスチャンセン	2026-08-29
