geni_id	qid	name	property	verdict	model	reality
1386522	Q5978038	Roland Martin	P1006	extra		284192082
1386522	Q5978038	Roland Martin	P106	extra		Q10872101;Q1622272;Q39631
1386522	Q5978038	Roland Martin	P10832	extra		E39PBJwX6Dmh9jdh73JXtcWbh3
1386522	Q5978038	Roland Martin	P1207	extra		n2004057731;n2004091907
1386522	Q5978038	Roland Martin	P13049	extra		124035140
1386522	Q5978038	Roland Martin	P13204	extra		fyjzhkdv
1386522	Q5978038	Roland Martin	P1343	extra		Q379406
1386522	Q5978038	Roland Martin	P13591	extra		person/161ee64f-23e5-4152-abcc-b416d0978a2c
1386522	Q5978038	Roland Martin	P1412	extra		Q9027
1386522	Q5978038	Roland Martin	P14608	extra		124035140
1386522	Q5978038	Roland Martin	P18	extra		Roland Martin (medicinare).jpg
1386522	Q5978038	Roland Martin	P1871	extra		cnp00473334;cnp01353535
1386522	Q5978038	Roland Martin	P19	extra		Q10710237
1386522	Q5978038	Roland Martin	P20	extra		Q10531907
1386522	Q5978038	Roland Martin	P213	extra		0000000109190574
1386522	Q5978038	Roland Martin	P214	extra		79121884
1386522	Q5978038	Roland Martin	P2163	extra		1658456
1386522	Q5978038	Roland Martin	P227	extra		124035140
1386522	Q5978038	Roland Martin	P244	extra		n2006184351
1386522	Q5978038	Roland Martin	P268	extra		125689228
1386522	Q5978038	Roland Martin	P269	extra		073433438
1386522	Q5978038	Roland Martin	P27	extra		Q34
1386522	Q5978038	Roland Martin	P2949	extra		Martin-84353
1386522	Q5978038	Roland Martin	P3154	extra		martirol
1386522	Q5978038	Roland Martin	P3217	extra		9137
1386522	Q5978038	Roland Martin	P3373	extra		Q139071345
1386522	Q5978038	Roland Martin	P396	extra		PUVV317122
1386522	Q5978038	Roland Martin	P40	extra		Q124364438;Q139019854
1386522	Q5978038	Roland Martin	P463	extra		Q191583
1386522	Q5978038	Roland Martin	P4819	extra		I_2wtd5VefAAAAAAAABSAw
1386522	Q5978038	Roland Martin	P53	extra		Q139007422
1386522	Q5978038	Roland Martin	P5375	extra		771
1386522	Q5978038	Roland Martin	P5415	extra		2405
1386522	Q5978038	Roland Martin	P5587	extra		42gjlh1n15q1dbs
1386522	Q5978038	Roland Martin	P570	extra	+1788-04-10/11	+1788-09-10/11
1386522	Q5978038	Roland Martin	P6821	extra		alvin-person:3348
1386522	Q5978038	Roland Martin	P69	extra		Q185246
1386522	Q5978038	Roland Martin	P7902	extra		124035140
1386522	Q5978038	Roland Martin	P8980	extra		000103116
1386522	Q5978038	Roland Martin	P906	extra		238850;333825
1386522	Q5978038	Roland Martin	P9964	extra		124035140
1386965	Q141430138	Vendela Charlotta Rudbeck	P3373	extra		Q103771956
1415237	Q138582215	Eva Christina Eriksdotter de Besche	P26	extra		Q2824703
1415237	Q138582215	Eva Christina Eriksdotter de Besche	P27	extra		Q34
1415237	Q138582215	Eva Christina Eriksdotter de Besche	P40	extra		Q138581679;Q22661744;Q3121047
1415237	Q138582215	Eva Christina Eriksdotter de Besche	P570	extra	+1810-11-05/11	+1810-11-15/11
1415237	Q138582215	Eva Christina Eriksdotter de Besche	P735	extra	Q1083457;Q64412279	Q829665
1551393	Q469962	Eva Sophia Sofia von Fersen	P106	extra		Q715222
1551393	Q469962	Eva Sophia Sofia von Fersen	P10832	extra		E39PBJvXhrDMqwvJTV3QkBj6Kd
1551393	Q469962	Eva Sophia Sofia von Fersen	P1248	extra		8df55441-3d3d-43b9-9518-8d4cfa9d994d
1551393	Q469962	Eva Sophia Sofia von Fersen	P1343	extra		Q379406
1551393	Q469962	Eva Sophia Sofia von Fersen	P1412	extra		Q188
1551393	Q469962	Eva Sophia Sofia von Fersen	P18	extra		Chateaubourg, Chevalier de - Eva Sophia Piper.jpg
1551393	Q469962	Eva Sophia Sofia von Fersen	P1819	extra		I00492767
1551393	Q469962	Eva Sophia Sofia von Fersen	P1830	extra		Q366672
1551393	Q469962	Eva Sophia Sofia von Fersen	P1871	extra		cnp02254023
1551393	Q469962	Eva Sophia Sofia von Fersen	P19	extra		Q1754
1551393	Q469962	Eva Sophia Sofia von Fersen	P20	extra		Q366672
1551393	Q469962	Eva Sophia Sofia von Fersen	P214	extra		7154196683220111310
1551393	Q469962	Eva Sophia Sofia von Fersen	P22	extra		Q1453246
1551393	Q469962	Eva Sophia Sofia von Fersen	P227	extra		1189193221
1551393	Q469962	Eva Sophia Sofia von Fersen	P2538	extra		11026
1551393	Q469962	Eva Sophia Sofia von Fersen	P26	extra		Q6050268
1551393	Q469962	Eva Sophia Sofia von Fersen	P268	extra		177645060
1551393	Q469962	Eva Sophia Sofia von Fersen	P269	extra		232352003
1551393	Q469962	Eva Sophia Sofia von Fersen	P27	extra		Q34;Q34266
1551393	Q469962	Eva Sophia Sofia von Fersen	P2949	extra		Von_Fersen-4
1551393	Q469962	Eva Sophia Sofia von Fersen	P3154	extra		pipereva
1551393	Q469962	Eva Sophia Sofia von Fersen	P3217	extra		15287
1551393	Q469962	Eva Sophia Sofia von Fersen	P3222	extra		sophie-piper
1551393	Q469962	Eva Sophia Sofia von Fersen	P3373	extra		Q19312912;Q3129338;Q455071
1551393	Q469962	Eva Sophia Sofia von Fersen	P373	extra		Sophie Piper
1551393	Q469962	Eva Sophia Sofia von Fersen	P40	extra		Q116159118;Q133564038;Q133569032;Q133569035;Q6050301
1551393	Q469962	Eva Sophia Sofia von Fersen	P4963	extra		SophievonFersen
1551393	Q469962	Eva Sophia Sofia von Fersen	P570	extra	+1816-02-11/11	+1816-02-02/11
1551393	Q469962	Eva Sophia Sofia von Fersen	P6104	extra		Q100741461
1551393	Q469962	Eva Sophia Sofia von Fersen	P646	extra		/m/05pdjcv
1551393	Q469962	Eva Sophia Sofia von Fersen	P734	extra		Q16881248
1551393	Q469962	Eva Sophia Sofia von Fersen	P735	extra	Q18201520;Q2302787;Q64412279	Q14942517
1551393	Q469962	Eva Sophia Sofia von Fersen	P7847	extra		0210314283214
1551393	Q469962	Eva Sophia Sofia von Fersen	P9495	extra		person/11C6A5E9-261E-4E42-8303-46D7A4BA5AE5
1552522	Q6235986	Carl Gustaf Wennerstedt	P106	extra		Q212238
1552522	Q6235986	Carl Gustaf Wennerstedt	P10832	extra		E39PBJtmpQyv978rjhcFyxcByd
1552522	Q6235986	Carl Gustaf Wennerstedt	P119	extra		Q10684758
1552522	Q6235986	Carl Gustaf Wennerstedt	P1260	extra		LSH/agents/31173
1552522	Q6235986	Carl Gustaf Wennerstedt	P1343	extra		Q110246673
1552522	Q6235986	Carl Gustaf Wennerstedt	P1412	extra		Q9027
1552522	Q6235986	Carl Gustaf Wennerstedt	P166	extra		Q20899923;Q20900064
1552522	Q6235986	Carl Gustaf Wennerstedt	P18	extra		Carl Gustaf Wennerstedt.jpg
1552522	Q6235986	Carl Gustaf Wennerstedt	P1819	extra		I00488126
1552522	Q6235986	Carl Gustaf Wennerstedt	P1830	extra		Q10670286
1552522	Q6235986	Carl Gustaf Wennerstedt	P1871	extra		cnp00896447
1552522	Q6235986	Carl Gustaf Wennerstedt	P20	extra		Q10684757
1552522	Q6235986	Carl Gustaf Wennerstedt	P213	extra		0000000020665852
1552522	Q6235986	Carl Gustaf Wennerstedt	P214	extra		23215159
1552522	Q6235986	Carl Gustaf Wennerstedt	P22	extra		Q24298875
1552522	Q6235986	Carl Gustaf Wennerstedt	P227	extra		129301167
1552522	Q6235986	Carl Gustaf Wennerstedt	P25	extra		Q122962059
1552522	Q6235986	Carl Gustaf Wennerstedt	P26	extra		Q122949451
1552522	Q6235986	Carl Gustaf Wennerstedt	P27	extra		Q34
1552522	Q6235986	Carl Gustaf Wennerstedt	P2949	extra		Wennerstedt-1
1552522	Q6235986	Carl Gustaf Wennerstedt	P3373	extra		Q141249733;Q53858175
1552522	Q6235986	Carl Gustaf Wennerstedt	P39	extra		Q130753133;Q135285877;Q81720231;Q96212381
1552522	Q6235986	Carl Gustaf Wennerstedt	P40	extra		Q110457067;Q122949243;Q138509005;Q138509008;Q81658929
1552522	Q6235986	Carl Gustaf Wennerstedt	P5101	extra		WennerstedtCG
1552522	Q6235986	Carl Gustaf Wennerstedt	P569	extra	+1692-10-21/11	+1692-10-31/11
1552522	Q6235986	Carl Gustaf Wennerstedt	P69	extra		Q185246
1552522	Q6235986	Carl Gustaf Wennerstedt	P734	extra		Q51079171
1552522	Q6235986	Carl Gustaf Wennerstedt	P735	extra	Q15646212;Q2529610	Q20936782
1552522	Q6235986	Carl Gustaf Wennerstedt	P9495	extra		person/85316E88-50CF-4EF7-9B19-2E54ECD4A31F
1552522	Q6235986	Carl Gustaf Wennerstedt	P97	extra		Q165503
1609740	Q141244224	Justina Sophie Naucler	P735	extra	Q18201520;Q18211002	Q14942517
2853609	Q131729972	Olof Eriksson Spak	P106	extra		Q212238
2853609	Q131729972	Olof Eriksson Spak	P1412	extra		Q9027
2853609	Q131729972	Olof Eriksson Spak	P1819	extra		I00808247
2853609	Q131729972	Olof Eriksson Spak	P20	extra		Q25457
2853609	Q131729972	Olof Eriksson Spak	P26	extra		Q131729973
2853609	Q131729972	Olof Eriksson Spak	P27	extra		Q34
2853609	Q131729972	Olof Eriksson Spak	P2949	extra		Eriksson-4285
2853609	Q131729972	Olof Eriksson Spak	P5056	missing	Q130232913	
2853609	Q131729972	Olof Eriksson Spak	P569	missing	+1575-05-21/11	
2853609	Q131729972	Olof Eriksson Spak	P734	extra		Q37140936
285884854200005085	Q141244207	Anna M. Ekman	P3373	extra		Q141205908;Q141223423;Q141352125
285885625540008539	Q141352125	Adolf E. Ekman	P3373	extra		Q141205908;Q141223423;Q141244207
285886949080005081	Q141223423	Harlverg B. Ekman	P3373	extra		Q141205908;Q141244207;Q141352125
302204346420006438	Q12278990	Domitia Faustina	P1343	extra		Q1138524
302204346420006438	Q12278990	Domitia Faustina	P22	extra		Q1430
302204346420006438	Q12278990	Domitia Faustina	P25	extra		Q236936
302204346420006438	Q12278990	Domitia Faustina	P3373	extra		Q1434;Q16167328;Q2055853;Q242466;Q3655950;Q3656003;Q441706;Q567222
302204346420006438	Q12278990	Domitia Faustina	P373	extra		Domitia Faustina
305332989800002467	Q116150300	Cecilie Ebbesdatter Hvide	P1819	extra		I00444033
305332989800002467	Q116150300	Cecilie Ebbesdatter Hvide	P22	extra		Q16063657
305332989800002467	Q116150300	Cecilie Ebbesdatter Hvide	P3373	extra		Q2183430
305332989800002467	Q116150300	Cecilie Ebbesdatter Hvide	P40	extra	Q141189062;Q141189080;Q141189110	Q116150298
311815313480004654	Q16649960	Olof Nauclér	P106	extra		Q82955
311815313480004654	Q16649960	Olof Nauclér	P1412	extra		Q9027
311815313480004654	Q16649960	Olof Nauclér	P1559	extra		Olof Nauclér
311815313480004654	Q16649960	Olof Nauclér	P19	extra		Q10468281
311815313480004654	Q16649960	Olof Nauclér	P20	extra		Q10715204
311815313480004654	Q16649960	Olof Nauclér	P2671	extra		/g/1yfp3ncl0
311815313480004654	Q16649960	Olof Nauclér	P27	extra		Q34
311815313480004654	Q16649960	Olof Nauclér	P3373	extra		Q6003576
311815313480004654	Q16649960	Olof Nauclér	P40	extra		Q139501122;Q140197236
311815313480004654	Q16649960	Olof Nauclér	P734	extra		Q25349890
320185503190003459	Q75293753	Elizabeth Conyers	P1819	extra		I00613445
320185503190003459	Q75293753	Elizabeth Conyers	P22	extra		Q47011852
320185503190003459	Q75293753	Elizabeth Conyers	P25	extra		Q75293727
320185503190003459	Q75293753	Elizabeth Conyers	P26	extra		Q75293755;Q75293824
320185503190003459	Q75293753	Elizabeth Conyers	P2949	extra		Aton-23
320185503190003459	Q75293753	Elizabeth Conyers	P3373	extra		Q75293729
320185503190003459	Q75293753	Elizabeth Conyers	P40	extra		Q100326413;Q75293840
320185503190003459	Q75293753	Elizabeth Conyers	P4638	extra		p4389.htm#i43889
320185503190003459	Q75293753	Elizabeth Conyers	P569	extra	+1347-00-00/9	+1340-00-00/9
328122852240006970	Q141244118	Nils Nilsson Midt-Fister Jr.	P3373	extra		Q141318924
328122852240006970	Q141244118	Nils Nilsson Midt-Fister Jr.	P734	extra		Q141383338
340342479380013975	Q141198447	Kristina Tolvesdotter Näs	P1449	extra		Tolveætten
342026151920011851	Q29246906	Eleonora Juliana Wiggman	P106	extra		Q1028181;Q15296811
342026151920011851	Q29246906	Eleonora Juliana Wiggman	P1343	extra		Q10685690
342026151920011851	Q29246906	Eleonora Juliana Wiggman	P19	extra		Q26345
342026151920011851	Q29246906	Eleonora Juliana Wiggman	P20	extra		Q1754
342026151920011851	Q29246906	Eleonora Juliana Wiggman	P27	extra		Q34
342026151920011851	Q29246906	Eleonora Juliana Wiggman	P2949	extra		Wiggman-1
342026151920011851	Q29246906	Eleonora Juliana Wiggman	P40	extra		Q16616050
342026151920011851	Q29246906	Eleonora Juliana Wiggman	P4432	extra		00310871
342026151920011851	Q29246906	Eleonora Juliana Wiggman	P569	extra	+1800-05-14/11	+1801-05-14/11
342026151920011851	Q29246906	Eleonora Juliana Wiggman	P734	extra		Q21507850
342026151920011851	Q29246906	Eleonora Juliana Wiggman	P7763	extra		Q71887839
342032974900007076	Q6330080	Elof Steuch till Duveke	P10832	extra		E39PBJkp88xY3TqTmDdtWQX68C
342032974900007076	Q6330080	Elof Steuch till Duveke	P1819	extra		I00491146
342032974900007076	Q6330080	Elof Steuch till Duveke	P1871	extra		cnp00902793
342032974900007076	Q6330080	Elof Steuch till Duveke	P19	extra		Q34
