geni_id,sex,raw_name,givn,surn,given_part,ordinal_token,ordinal_value,kind,token_index,given_tokens,patronymic_links,source_file
6000000021210858565,M,Other 995 Sons /Karthaviryarjuna/,Other 995 Sons,,Other 995 Sons,995,995,arabic,1,3,0,export-Forest-6.ged
6000000008498039607,M,سلطان خليل بهادر ۸۸۳ - ۸۸۲,سلطان خليل بهادر ۸۸۳ - ۸۸۲,,سلطان خليل بهادر ۸۸۳ - ۸۸۲,۸۸۳,883,arabic,3,6,0,export-BloodTree-6000000178918541826.ged
6000000008177296956,M,"Hrólfr ""of the River"" Solgasson 730","Hrólfr ""of the River"" Solgasson",,"Hrólfr ""of the River"" Solgasson 730",730,730,arabic,5,6,0,export-Forest-6000000227227035828.ged
6000000037786777222,M,X 630 630,X 630,,X 630 630,630,630,arabic,1,3,0,export-Forest-6000000227225487992.ged
6000000037786659361,M,X 600 600,X 600,,X 600 600,600,600,arabic,1,3,0,export-Forest-6000000227227035828.ged
6000000037785596709,M,X 570 570,X 570,,X 570 570,570,570,arabic,1,3,0,export-Forest-6000000227227035828.ged
6000000005796377184,M,Flavius Magnus Consul 460,Flavius Magnus,,Flavius Magnus Consul 460,460,460,arabic,3,4,0,export-Forest-6000000209079906821.ged
6000000041322141502,M,"Roman Republic Dictator (437, 434 & 426 BC) - Mamercus Aemilius Memercinus",Mamercus Aemilius Memercinus,,"Roman Republic Dictator (437, 434 & 426 BC) - Mamercus Aemilius Memercinus",434,434,arabic,4,12,0,export-Ancestors-6000000220974565012.ged
6000000001412938432,M,Flavius Constantinus Felix Constantinus Consul 428,Flavius Constantinus Felix Constantinus,,Flavius Constantinus Felix Constantinus Consul 428,428,428,arabic,5,6,0,export-Forest-6000000209079906821.ged
6000000003828367831,M,Flavius Julius Agricola Consul 421,Flavius Julius Agricola,,Flavius Julius Agricola Consul 421,421,421,arabic,4,5,0,export-Ancestors-6000000220974565012.ged
6000000006101378800,M,"Flavius Bauto, Consul 385",Flavius Bauto,,"Flavius Bauto, Consul 385",385,385,arabic,3,4,0,export-Forest-6000000209295506839.ged
6000000041322397073,M,Consul (366 & 363 BC) - Lucius Aemilius Memercinus,Lucius Aemilius Memercinus,,Consul (366 & 363 BC) - Lucius Aemilius Memercinus,363,363,arabic,3,9,0,export-Forest-6000000178918116832.ged
6000000041322307263,M,Consul (317 & 311 BC) - Quintus Aemilius Barbula,Quintus Aemilius Barbula,,Consul (317 & 311 BC) - Quintus Aemilius Barbula,311,311,arabic,3,9,0,export-Forest-6000000178918116832.ged
6000000012025892359,M,"Pompeius Probus, Consul in 310",Pompeius,,"Pompeius Probus, Consul in 310",310,310,arabic,4,5,0,export-Forest-6000000178918116832.ged
