qid,source_label,ko_label
Q101247444,Ingegerd Svantepolksdotter,이에게르드 스반테폴크스도테르 오프 비비 헤이레스 라디 오프 헨데뢰외
Q1045160,Xie of Shang,설
Q108615842,Mårten Bunge,모르텐 부에
Q109296145,Charlotta Florentina Beata Ingelotz,차르로타 프로렌티나 베아타 이에로트즈
Q1335682,Emich von Leiningen,에미츠 본 레이니엔
Q1340404,Erik Benzelius the Younger,에리크 벤제류스 즈르
Q141168833,Ingeborg Gurie Ådnesdatter Garborg,이에보르그 구리에 오드네스다테르 가르보르그
Q141178200,Inger Kristoffersdatter,이에르 크리스토페르스다테르
Q141216594,Ane Maria Olsdatter Vestre Stangaland,아네 마리아 올스다테르 베스트레 스타아란드
Q141216609,Inger Kristoffersdatter Skårland,이에르 크리스토페르스다테르 스코르란드
Q141219054,Carl Emil Cronhielm af Hakunge,카르르 에밀 크론히엘므 아프 하쿠에
Q141219250,Inger Sørensdatter Lima,이에르 쇠렌스다테르 리마
Q141219356,Ulrika Charlotta Klingenstierna,울리카 차르로타 크리엔스티에르나
Q141223518,Jakob Bunge,자콥 부에
Q141223551,Ragnhild Ingebretsdatter Voster,락느힐드 이에브레츠다테르 보스테르
Q141244126,Valborg Ingebretsdatter Voster,발보르그 이에브레츠다테르 보스테르
Q141249596,Beata Elisabet Unge,베아타 에리사베트 우에
Q141249607,Helena Gangia,헤레나 가이아
Q141257237,Julie Wilkens Engebretsen,주리에 윌켄스 에에브레트센
Q141257311,Waldemar Leopold Engebretsen,왈데마르 레오폴드 에에브레트센
Q141268078,Maren Wangelsten Abrahamsdatter Felthuus,마렌 와엘스텐 압라함스다테르 펠투우스
Q141283481,Anna Helena Bunge,안나 헤레나 부에
Q141283483,Anna Margareta Engelcrona,안나 마르가레타 에엘크로나
Q141283491,Berta Kristine Kristiansdatter Rangen,베르타 크리스티네 크리스티안스다테르 라엔
Q141283513,Ola Berdinesson Stangeland,오라 베르디네손 스타에란드
Q141290203,Mons Evertson Stangaland,몬스 에베르촌 스타아란드
Q141312942,Ane Maria Kristoffersdatter Stangaland,아네 마리아 크리스토페르스다테르 스타아란드
Q141312981,Märta Haraldsdatter Stengavel,메르타 하랄드스다테르 스테아벨
Q141313496,Inga Elvira Frisk,이아 엘비라 프리스크
Q141318574,Salomon Kingo,사로몬 키오
Q141318597,Ingeborg Canthera,이에보르그 칸테라
Q141318909,Erik Gustaf Klingenstierna,에리크 구스타프 크리엔스티에르나
Q141318915,Ingeborg Olsdatter Søre Sunde,이에보르그 올스다테르 쇠레 순데
Q141319194,Ingeborg Monsdatter Ølberg,이에보르그 몬스다테르 욀베르그
Q141319195,Inger Persdatter Heigre,이에르 페르스다테르 헤이그레
Q141336626,Marta Ingebretsdatter Risa,마르타 이에브레츠다테르 리사
Q141336681,Anne Margrethe Kingo,안네 마르그레테 키오
Q141336682,Jørgen Hansen Kingo,죄르겐 한센 키오
Q141336980,Anna Maria Wrangel af Adinal,안나 마리아 우라엘 아프 아디날
Q141337054,Helmik Tobiasson Rangen,헬미크 토비아손 라엔
Q141337057,Ingeborg Olsdatter Eikeland,이에보르그 올스다테르 에이케란드
Q141352528,Thorine Sophie Kinge,토리네 소피에 키에
Q141353661,Inger Pedersdatter Stokka,이에르 페데르스다테르 스토카
Q141353668,Iver Johannesen Kinge,이베르 조한네센 키에
Q141353714,Johannes Iversen Halvorsrud Kinge,조한네스 이베르센 할보르스루드 키에
Q141353751,Mårten Bungencrona,모르텐 부엔크로나
Q141353765,Rasmus Rasmusson Stangeland,라스무스 라스무손 스타에란드
Q141381878,Carl Gustaf Bungencrona,칼 구스타프 부엔크로나
Q141381931,Carolina Johanna Klingenstierna,카로리나 조한나 크리엔스티에르나
Q141382132,Ingeborg Eriksdatter Stangeland,이에보륵 에리크스다테르 스타에란드
Q141382139,Ingeborg Olsdatter Nor-Kolnes,이에보륵 올스다테르 노르콜네스
Q141382573,Otto August Cronhielm af Hakunge,오토 아우구스트 크론히엘므 아프 하쿠에
Q141403502,Anna Margareta Wrangel af Sauss,안나 마르가레타 우라엘 아프 사우스
Q141403514,Asbjørn Leifsson Drange,아스뵈른 레이프손 드라에
Q141403555,Elen Ingebretsen,에렌 이에브레트센
Q141403567,Engel Fredrika Rothlieb,에엘 프레드리카 로트리엡
Q141403583,Hedvig Eleonora Klingenstierna,헤드빅 에레오노라 크리엔스티에르나
Q141403590,Kari Klausdatter Stangeland,카리 크라우스다테르 스타에란드
Q141403594,Lars Ingebretsen,라르스 이에브레트센
Q141403611,Marta Reiersdatter Stangeland,마르타 레이에르스다테르 스타에란드
Q141419481,Berta Pedersdatter Stangeland,베르타 페데르스다테르 스타에란드
Q141419565,Elias Kahrs Ingebrigtsen Hoknes Himo,에리아스 카흐르스 이에브릭트센 호크네스 히모
Q141419584,Eva Hedda Ingeborg von Platen,에바 헤다 이에보륵 본 프라텐
Q141419662,Inger Persdatter Joa,이에르 페르스다테르 조아
Q141422095,Engel Maria Linnerhielm,에엘 마리아 린네르히엘므
Q141430049,Martin Monsen Stangaland,마르틴 몬센 스타아란드
Q141430121,Salomon Adolf Gustaf Cronhielm af Hakunge,사로몬 아돌프 구스타프 크론히엘므 아프 하쿠에
Q141436639,Engelbrekt Olofsson,에엘브레크트 오로프손
Q141436655,Ingebret Svenson Mossige,이에브레트 스벤손 모시게
Q141440511,Anna Persdotter Gangia,안나 페르스도테르 가이아
Q141440537,Elisabeth Kingo,에리사베트 키오
Q141440570,Ingeborg Kristensdatter Låge-Håland,이에보륵 크리스텐스다테르 로게호란드
Q141440601,Kristina Andersdotter Thelingius,크리스티나 안데르스도테르 테리유스
Q141442289,Claes Carl Conrad Rangel von Post,크래스 칼 콘라드 라엘 본 포스트
Q141442302,Henry Stangeland,헨리 스타에란드
Q141442306,Ingeborg Eivindsdotter,이에보륵 에이빈드스도테르
Q141442308,Inger Larsdatter Grude,이에르 라르스다테르 그루데
Q141442325,Lovise Augusta Constance Engebretsen,로비세 아우구스타 콘스탄케 에에브레트센
Q141442960,Hans Stangeland,한스 스타에란드
Q141442966,Ingeborg Osmundsdatter,이에보륵 오스문드스다테르
Q141443355,Ingeborg NN,이에보륵
Q141443356,Ingebret Hansen Gausland,이에브레트 한센 가우스란드
Q141443406,Marta Ingebretsdatter Voster,마르타 이에브레트스다테르 보스테르
Q141444555,Angela Bassi,아에라 바시
Q141444562,Anna Persdotter Helsingia,안나 페르스도테르 헬시이아
Q141444575,Else Steffensdatter Kinge,엘세 스테펜스다테르 키에
Q141444581,Fredrik Cronhielm af Hakunge,프레드리크 크론히엘므 아프 하쿠에
Q141444652,Ingeborg Jönsdotter,이에보륵 죈스도테르
Q141444659,Inger Cathrine Jacobsdatter Holst,이에르 카트리네 자콥스다테르 홀스트
Q141444708,NN ektefelle Ola Eilivson Tengesdal,오라 에이립손 테에스달의 아내
Q141444720,Ola Eilivson Tengesdal,오라 에이립손 테에스달
Q141444747,Samuel Klingenstierna,사뭴 크리엔스티에르나
Q141444764,Siri Ingebretsdatter Voster,시리 이에브레트스다테르 보스테르
Q141444782,Steffen Kinge,스테펜 키에
Q141447146,Ingeborg Håland,이에보륵 호란드
Q141447150,Ingeborg Malene Simers,이에보륵 마레네 시메르스
Q141447154,Ingeborg Pedersdatter Vestly,이에보륵 페데르스다테르 베스트리
Q141447174,Klaus Enoksen Stangeland,크라우스 에노크센 스타에란드
Q141447201,Niels Samuelsen Stangeland,니엘스 사뭴센 스타에란드
Q141448477,Ingeborg Maria Trulsdatter Nedrebø,이에보륵 마리아 트룰스다테르 네드레뵈
Q141448479,Ingebret Syversen,이에브레트 시베르센
Q141448490,Lovise Lenjé Lotheé Engebretsen,로비세 레네 로테에 에에브레트센
Q141450175,Catharina Charlotta Bunge,카타리나 차로타 부에
Q141450186,Ebba Christina Wrangel af Sage och Waschel,에바 크리스티나 우라엘 아프 사게 오츠 와셀
Q141450217,Hans Kingo Lund,한스 키오 룬드
Q141450240,Johanna Barbara Johansdotter Hisinger,조한나 바르바라 조한스도테르 히시에르
Q141450322,Ølver father of Ingrid,욀베르 파테르
Q141451017,Gustaf Ulrik Wrangel af Sage och Waschel,구스타프 울리크 우라엘 아프 사게 오츠 와셀
Q141451028,Ingeborg Berte Svensdotter,이에보륵 베르테 스벤스도테르
Q141454286,Alfred Ettinger,알프레드 에티에르
Q141454298,Barbara Ingebretsdatter Grødem,바르바라 이에브레트스다테르 그뢰뎀
Q141454396,Hans father of Anne Margrethe Kingo,한스 파테르
Q141454426,Ingeborg Margareta Wikblad,이에보륵 마르가레타 위큽라드
Q141454679,Rhea Ettinger,르헤아 에티에르
Q141456359,Ingeborg Alvsdatter Alvseike,이에보륵 알브스다테르 알브세이케
Q141456361,Inger Skorve,이에르 스코르베
Q141456410,Martin Monsen Stangaland,마르틴 몬센 스타아란드
Q141456586,Berit Enoksdatter Stangeland,베리트 에노크스다테르 스타에란드
Q141456621,Elliv Tengesdal,엘립 테에스달
Q1531283,Moritz von Engelhardt,모리츠 본 에엘하르트
Q16650142,Petrus Petri Gangius,페트루스 페트리 가유스
Q2322001,Henri d'Angoulême,헨리 다우레메
Q274606,Berengar I of Italy,베렌가리오 1세
Q314521,Berengar II of Italy,베렌가리오 2세
Q455071,Axel von Fersen the Younger,한스 악셀 폰 페르센
Q5749466,Henrik Gahn den yngre,헨리크 가흔 2세
Q933505,"Enguerrand III, Lord of Coucy",에웨르란드 레 바티슈르 데 쿠키 3세
