chart	person	geni	qid	parent
head	Tanba no Yasuyori	6000000227350547867	Q1466794	6000000210408834830 Sakanoue no Ōkuni
head	Tanba no Shigemitsu	6000000227350539869	Q135524789	Yasuyori
head	Tanba no Kiyomasa	6000000227350480005	Q135524790	Yasuyori
head	Tanba no Toshiyoshi	6000000227350512947	Q135524793	Yasuyori
head	Tanba no Tadamitsu	6000000227350551882	Q135524794	Shigemitsu
head	Tanba no Masatada	6000000227350486846	Q17212991	Tadamitsu
head	Tanba no Shigetsune	6000000227350592846	Q135524795	Tadamitsu
head	Tanba no Tadayasu	6000000227350480021	Q135524797	Masatada (adopted on the chart)
head	Tanba no Shigeyasu	6000000227350508924	Q135524798	Masatada
head	Tanba no Masayasu	6000000227350600828	Q135524799	Tadayasu
head	Tanba no Nakakiyo	6000000227350588855	Q135524801	Tadayasu
head	Tanba no Shigeyori	6000000227350527916	Q135524803	Shigeyasu
head	Tanba no Mikoyasu	6000000227350511019	Q135524806	Masayasu
head	Tanba no Tsuneyasu	6000000227350483979	Q135524807	Masayasu
head	Tanba no Motoyasu	6000000227350531833	Q135524808	Shigeyori
head	Tanba no Masanaga	6000000227350508962	Q135524814	Motoyasu
head	Tanba no Yorimoto	6000000227350557852	Q135524815	Motoyasu
head	Tanba no Yoshimoto	6000000227350483988	Q135524830	Yorimoto
head	Tanba no Yoriyuki	6000000227350587897	Q135524842	Yoshimoto
head	Tanba no Naganobu	6000000227350508982	Q135524844	Yoshimoto
head	Tanba no Yorimoto (2nd)	6000000227350573858	Q135524856	Yoriyuki
head	Tanba no Yorikiyo	6000000227350432965	Q135524858	Yoriyuki
head	Tanba no Ienaga	6000000227350459846	Q135524873	Yorimoto (2nd)
head	Tanba no Ennaga	6000000227350585923	Q135524879	Ienaga
head	Tanba no Iemae	6000000227350600851	Q135524888	Ennaga
head	Tanba no Yoriyasu	6000000227350466844	Q135524804	Shigeyasu
head	Tanba no Shigemoto	6000000227350605869	Q135524805	Shigeyasu
head	Tanba no Shigetada	6000000227350573875	Q132435802	Shigeyasu
head	Tanba no Tomoyasu	6000000227350556836	Q135524809	Shigemoto
head	Tanba no Norimoto	6000000227350486925	Q135524810	Shigemoto
head	Tanba no Nobuyasu	6000000227350605885	Q135524823	Tomoyasu
head	Tanba no Ikimoto	6000000227350468901	Q135524824	Norimoto
head	Tanba no Masatsune	6000000227350468906	Q135524833	Nobuyasu
head	Tanba no Masatsugu	6000000227350504993	Q135524834	Nobuyasu
head	Tanba no Hisamoto	6000000227350585974	Q135524835	Ikimoto
head	Tanba no Tsunemoto	6000000227350595891	Q135524816	Motoyasu
head	Tanba no Tomomoto	6000000227350639842	Q135524820	Motoyasu
head	Tanba no Yasuji	6000000227350450833	Q135524821	Motoyasu
head	Tanba no Motoaki	6000000227350468920	Q135524822	Motoyasu
head	Tanba no Motokane	6000000227350661830	Q135524832	Tomomoto
head	Tanba no Tsunenaga	6000000227350575878	Q135524831	Tsunemoto
head	Tanba no Motoyoshi	6000000227350480136	Q135524848	Motokane
head	Tanba no Naganaga	6000000227350612827	Q135524845	Tsunenaga
head	Tanba no Hisanaga	6000000227350468929	Q135524846	Tsunenaga
head	Tanba no Hiromoto	6000000227350605921	Q135524860	Naganaga
head	Tanba no Yukinaga	6000000227350698848	Q135524862	Hisanaga
head	Tanba no Morinaga	6000000227350704822	Q135524863	Hisanaga
head	Tanba no Toshiyasu	6000000227350457835	Q135524864	Motoyoshi
head	Tanba no Yukimoto	6000000227350676859	Q135524865	Motoyoshi
head	Tanba no Hisayasu	6000000227350676868	Q135524874	Yukinaga
head	Tanba no Muneyasu	6000000227350466908	Q135524875	Morinaga
head	Tanba no Fuyuyasu	6000000227350683833	Q135524876	Toshiyasu
head	Tanba no Kanehira	6000000227350738821	Q135524882	Hisayasu
