file	line	verdict	text
CLAUDE.md	763	unclear	regenerating the ledger, but 90% of the time we are not gonna want to rebuild the synoptic
CLAUDE.md	774	geni	- **The synoptic tree — almost never.** `scripts/rebuild-everything.py` merges the whole corpus:
CLAUDE.md	777	unclear	not ask you to make the synoptic tree just to refresh the ledger."*
CLAUDE.md	2215	unclear	**The method is structural.** *"For the synoptic tree, we're supposed to be
CLAUDE.md	2218	unclear	relationships. That is a critical part of building up this synoptic tree."* Start
CLAUDE.md	2430	full	### The Wikidata link goes in the bio during the SYNOPTIC TREE BUILD. Geni is not edited
CLAUDE.md	2436	full	> the Synoptic tree, we put the Wikidata links into bios during the build process of the Synoptic
CLAUDE.md	2438	unclear	> the IDs to ensure that they haven't been merged or anything... Forcing them into this Synoptic
CLAUDE.md	2439	unclear	> tree like this makes it so that the Synoptic tree, when it starts being used as an input, does
CLAUDE.md	2443	full	re-exports for this purpose. The QID is written into the person's bio field in the synoptic tree
CLAUDE.md	2450	unclear	**What the bio link is FOR, in her words, 2026-08-29:** *"When the synoptic tree is merged we
CLAUDE.md	2726	unclear	the people as we add more since we want all these bureatten people in the geni synoptic tree and
CLAUDE.md	3059	unclear	**The one thing still outstanding: the ideal state is the union of the synoptic tree and the
CLAUDE.md	3060	unclear	Geni tree**, and the synoptic half does not exist yet. That is the § *PREREQUISITE ORDER* item,
CLAUDE.md	3427	unclear	`Link reliability order`, `The chain of provenance`, `How the synoptic tree is actually made`,
CLAUDE.md	3446	full	scalable zipper thing much later"* · the `synoptic tree` vocabulary split · **creating the
devlog.md	1254	unclear	The user stated the project's purpose plainly this tick: one growing **synoptic**
devlog.md	1255	geni	tree. What makes it synoptic is that the graph is connected, and the merge step
devlog.md	2916	geni	The synoptic GEDCOM is `out/merged.ged`, 262 MB, gitignored, rebuilt with
devlog.md	3701	unclear	and it was still wrong: this repo exists to build one synoptic tree, and a
devlog.md	4287	unclear	## 2026-08-09 — the branch lands, and the synoptic tree at 145
devlog.md	4493	unclear	It is **synoptic — a duplicated tree, not a fused one** — and *"intended to be
devlog.md	4502	unclear	synoptic. Then I turned the 4,491 Geni-ID-less parents into a NEEDS-DECISION
devlog.md	7395	unclear	exports in, measure what they cleared, gaps analysis, then a full synoptic
devlog.md	7781	unclear	stuff, and not the Synoptic Tree."* I had measured long-range reach against the
devlog.md	7789	unclear	this set — it is not a reason to skip the synoptic check next time, which is the
devlog.md	8513	unclear	synoptic tree. You just did that on your own… rebuilding the synoptic tree right now is
devlog.md	9065	unclear	## 2026-08-18 — the synoptic tree, rebuilt on the name-development branch
devlog.md	11390	unclear	`LABELS, IN HER ORDER`, the export loop and tail algorithm, the synoptic tree, the
devlog.md	11660	unclear	is that represented in our data?… I'm afraid it isn't properly represented in our synoptic
devlog.md	11662	unclear	which is exactly the artefact `CLAUDE.md` says the synoptic tree is for.
devlog.md	11664	unclear	`scripts/build-synoptic-correspondence.py` → `reports/synoptic-correspondence.tsv`:
devlog.md	11675	full	against Wikidata's own `P2600`**. Listed in `reports/synoptic-conflicts.tsv` and **not
devlog.md	11679	geni	566,198 families, and `out/merged-pre-synoptic-2026-08-23.ged` kept per the backtest rule.
devlog.md	12244	full	**No.** `reports/synoptic-correspondence.tsv` holds 522,086 Geni ID ↔ QID pairs from five
devlog.md	12246	full	`P2600` on the Wikidata side. It is written by `build-synoptic-correspondence.py` and
devlog.md	12282	unclear	done jointly in the synoptic tree building."* Checked — it is joint already:
devlog.md	12293	unclear	**Cron `a9ffdec7`, daily at 14:07** — rebuild the synoptic tree **no earlier than 2pm**,
devlog.md	12314	full	the answer was no: 522,086 Geni ID ↔ QID pairs sat in `reports/synoptic-correspondence.tsv`
devlog.md	12549	unclear	resolved geni conflicts in the synoptic tree earlier either"*. Established, and the answer
devlog.md	12844	unclear	## 2026-08-24 — the synoptic tree is built
devlog.md	12878	unclear	### The synoptic correspondence
devlog.md	12893	unclear	`reports/synoptic-conflicts.tsv`.
devlog.md	12901	unclear	It mostly did not, and the report was why. `synoptic-conflicts.tsv` wrote one row per Geni
devlog.md	12933	unclear	`tests/test_synoptic_conflicts.py` pins it: one row per candidate, sources not shared
devlog.md	12941	unclear	talking about the opposite problem."* She is right. `synoptic-conflicts.tsv` is defined as
devlog.md	13025	unclear	`build-synoptic-correspondence.py` now drops the **235** structural pairs that dates
devlog.md	13878	unclear	**Also: the 2:07pm synoptic rebuild is rescheduled to 16:01** (`9c96578d`) at her request. Step 1
devlog.md	13989	full	### 2026-08-25 — zipper capped at round 3 and wired into the synoptic join
devlog.md	13997	unclear	`build-synoptic-correspondence.py`, so the number can be changed without re-running the walk.
devlog.md	13999	full	**The synoptic correspondence with the zipper in:**
devlog.md	14069	unclear	both corpora, how the synoptic tree is actually made, the provenance-chain design, and the
devlog.md	14250	full	**only by identifier** — `P2600`, the chain's own known QIDs, or the synoptic correspondence. The
devlog.md	14475	full	queued up analysis on synoptic tree vs wikidata solo children situations like this."*
devlog.md	15209	unclear	conflicts in the synoptic tree earlier either"*. So it was measured before being written.
devlog.md	15499	unclear	*"The ideal thing was supposed to be that we do a census of all languages in the synoptic tree…
devlog.md	15956	unclear	## 2026-08-27 — the synoptic correspondence, re-run against the current walk
devlog.md	15958	unclear	`reports/synoptic-correspondence.tsv` was 29h behind `reports/structural-correspondence.csv`,
devlog.md	16049	unclear	`build-synoptic-correspondence.py`, a whole-corpus job, for a file it only reads.
devlog.md	16525	full	during the synoptic tree build, not onto Geni, so the zipper merge sees the correspondence as
devlog.md	17302	full	Wikidata, so it is material for the synoptic tree even though it is not coverage.
devlog.md	17791	full	§ *The Wikidata link goes in the bio during the SYNOPTIC TREE BUILD. Geni is not edited*. I went to
devlog.md	17795	unclear	**What is actually true, in her words:** *"When the synoptic tree is merged we change all of their
devlog.md	17798	full	synoptic build, feeding a **Wikidata union that does not exist yet**. There is no standalone Geni
devlog.md	17811	full	## 2026-08-29 — the synoptic tree always carries the QID links, because they are corpus
devlog.md	17815	unclear	do the synoptic tree always gets these things."*
devlog.md	17849	unclear	rebuilding the synoptic tree to test this thing so that we can quickly move onto other work."* It
devlog.md	17857	unclear	**The instruction was specific and I generalised it.** She said the synoptic tree should carry
devlog.md	17860	unclear	`reports/synoptic-correspondence.tsv` that landed on somebody in our tree: **83,988 individuals,
devlog.md	17869	unclear	`reports/synoptic-correspondence.tsv` to the three returned **0 of 3**. That report joins five
devlog.md	17891	unclear	**What the docstring used to claim.** That the file existed so the synoptic tree *"ALWAYS"*
devlog.md	17893	unclear	people**. Both were generalisations of one instruction, *"When the synoptic tree is merged we
devlog.md	18470	unclear	synoptic tree. If it fails, if it's still not done, then do another one for 1:30 and 2:30... Now
devlog.md	18678	unclear	**"Synoptic tree" means two things and the repo never says which.** *"it is consistently conflated
devlog.md	19554	unclear	synoptic tree.
devlog.md	19623	unclear	correctly — *"the synoptic tree file stuff"* — and it is worse than a file-size problem.**
devlog.md	19657	unclear	16 GB `ubuntu-latest` runner. That is the reason a daily job cannot rebuild the synoptic tree, and
devlog.md	19734	unclear	on https://www.geni.com/profile/index/6000000227464556886 and incorporate them into the synoptic
devlog.md	19735	unclear	tree and then rebuild the synoptic tree, and then generate the quickstaements with the algorithm"*
devlog.md	19788	full	**`CLAUDE.md` § *The Wikidata link goes in the bio during the SYNOPTIC TREE BUILD. Geni is not
devlog.md	19791	full	complicated than it actually should be. In the Synoptic tree, we put the Wikidata links into bios
devlog.md	21112	unclear	genuinely outstanding line (the synoptic half of the union does not exist) is all that remains.
devlog.md	22038	full	so does the queue's own § *The Wikidata link goes in the bio during the SYNOPTIC TREE BUILD*. What
devlog.md	22121	unclear	the whole synoptic tree. *"I did not ask you to make the synoptic tree just to refresh the
devlog.md	22439	unclear	stale one re-creates her own work; the synoptic tree almost never, because it is ~14 minutes at
devlog.md	23083	geni	**§ *Build the synoptic tree* deleted.** Her call: *"the merge is a command, not a project."*
devlog.md	23399	unclear	## 2026-08-31 — two items closed: the succession roster, and how the synoptic tree is made
devlog.md	23407	unclear	**§ *How the synoptic tree is actually made* closed** → `docs/synoptic-correspondence.md`, written
devlog.md	23409	unclear	*"I'm going to treat the synoptic tree as though it is perfect."*
devlog.md	23458	unclear	**One thing to flag about this sweep's own brief.** It lists *How the synoptic tree is actually
devlog.md	23461	unclear	analysis of how the synoptic tree is actually made"*), not a specification of how work is done,
devlog.md	23462	unclear	and the analysis now exists as `docs/synoptic-correspondence.md` with nothing lost. Recording the
devlog.md	23656	unclear	**Checked: 7 of the 9 were already in `reports/synoptic-correspondence.tsv`.** Known through the
devlog.md	23661	unclear	**Fixed by using the union rather than one source.** `synoptic-correspondence.tsv` is that union,
devlog.md	23662	unclear	565,348 pairs across eight sources; `docs/synoptic-correspondence.md`, written earlier today, is
devlog.md	23721	full	outside `garborg-qids.tsv` but are known through `synoptic-correspondence.tsv` — the same widening
devlog.md	23855	unclear	`reports/synoptic-correspondence.tsv`.** They are hers by hand, from identities she *"put a lot of
devlog.md	24608	full	`zipper-join` or `build-synoptic-correspondence` — zero occurrences in either log.
devlog.md	24672	unclear	still 08-26, `synoptic-correspondence.tsv` still 08-31 — the two scripts have not run) ·
devlog.md	24720	unclear	reports/synoptic-correspondence 565,348 -> 568,955 +3,607
devlog.md	24742	unclear	`reports/synoptic-correspondence.tsv`. There is nothing for a refutation feeder to do.
devlog.md	24851	unclear	Geni profile is one item and `reports/synoptic-correspondence.tsv` says it is also an older one,
devlog.md	25097	unclear	**Checked and left alone:** § *"Synoptic tree" means two things* (needs her per-usage ruling),
docs/daily-algorithm.md	32	unclear	**The ideal state is the union of the synoptic tree and the Geni tree.** Not the Geni tree alone
docs/dictation/2026-08-26-daily-algorithm.md	18	unclear	the synoptic tree and the janny tree. In the arnie area, it's really clear. It finds, within this
docs/mass-export-run.md	36	unclear	https://www.geni.com/profile/index/6000000227464556886 and incorporate them into the synoptic
docs/mass-export-run.md	37	unclear	tree and then rebuild the synoptic tree, and then generate the quickstatements with the
docs/mass-export-run.md	172	unclear	injection into the synoptic tree build. Both the novelty and the purpose are gone.
docs/synoptic-correspondence.md	1	unclear	# How the synoptic correspondence is actually made
docs/synoptic-correspondence.md	3	unclear	**Emma, 2026-08-25:** *"Put into the queue also an analysis of how the synoptic tree is actually
docs/synoptic-correspondence.md	5	unclear	synoptic tree as though it is perfect, and we are going to address whether the synoptic tree is
docs/synoptic-correspondence.md	7	unclear	`scripts/build-synoptic-correspondence.py` does, and a list of the places it is doing something
docs/synoptic-correspondence.md	19	unclear	`reports/synoptic-correspondence.tsv` is the union; `reports/synoptic-conflicts.tsv` is the 410.
docs/synoptic-correspondence.md	82	unclear	`synoptic-conflicts.tsv`, so a consumer of the correspondence gets both pairs silently.
edit-objects.md	23	full	We hold a synoptic tree — Wikidata items with their whole JSON, Geni people with
orderlife/analysis/cycle_policy.md	13	unclear	device for linking people across time and space, and it is building a **synoptic
orderlife/analysis/shadow_audit.md	36	unclear	right is a per-record judgement, and this dump is a synoptic mythology where
queue.md	5	unclear	## "Synoptic tree" means two different things — resolve it usage by usage
queue.md	76	unclear	Geni record in there overwrites the same Geni ID from any other export** in the synoptic
queue.md	223	unclear	runner, so the synoptic tree still cannot be rebuilt in Actions without a larger runner.
reports/audit-transcripts-2026-08-15.md	60	full	| J | **Descent-from-antiquity people with neither a Geni nor a Wikidata link** — *"I want to include everything here in the synoptic tree… flagging whether an individual is a [DFA] individual"* | 08-
reports/farmname-seed-fixes.md	3	unclear	Emma, 2026-08-18: *"uhh farm names are surnames here lol"* --- and *"add a task in the queue to fix the surnames of these people before the synoptic tree is built. I will do the editing on geni for th
reports/garborg-carry-forward.tsv	43	full	6000000012007377976 already identified as Q135480174 via zipper (reports/synoptic-correspondence.tsv) - creating it would duplicate; link it instead
reports/garborg-carry-forward.tsv	44	full	6000000012959021518 already identified as Q56752288 via zipper (reports/synoptic-correspondence.tsv) - creating it would duplicate; link it instead
reports/garborg-carry-forward.tsv	45	full	6000000000186469135 already identified as Q347426 via structural;zipper (reports/synoptic-correspondence.tsv) - creating it would duplicate; link it instead
reports/garborg-carry-forward.tsv	46	full	6000000003051245269 already identified as Q3173713 via structural;zipper (reports/synoptic-correspondence.tsv) - creating it would duplicate; link it instead
reports/garborg-carry-forward.tsv	47	full	6000000002325842230 already identified as Q345420 via structural (reports/synoptic-correspondence.tsv) - creating it would duplicate; link it instead
reports/garborg-carry-forward.tsv	48	full	6000000011116043585 already identified as Q109555189 via zipper (reports/synoptic-correspondence.tsv) - creating it would duplicate; link it instead
reports/garborg-carry-forward.tsv	49	full	5106195884670114511 already identified as Q16649300 via structural;zipper (reports/synoptic-correspondence.tsv) - creating it would duplicate; link it instead
