number	title	name	qid
1	Sashai	Sashai ben Abishua	Q115804497
2	Bukki	Bakhi ben Sashai	Q2836764
3	Uzzi ben Sashai	Uzzi ben Sashai	
4		Shashai II ben Uzzi	
5		Bakhi II ben Sashai	
6		Shembet ben Bakhi	
7		Shalom I ben Shembet	
8		Hezekiah I ben Shalom	
9	Jonathan I ben Abiathar	Jonathan I ben Abiathar	Q107535326
10		Jair I ben Jonathan	
11		Daliah I	
12		Jair II ben Daliah	
13		Jonathan II ben Jair	
14		Ishmael ben Jonathan	
15		Tabia I	
16		Zedekiah I	
17		Ahid	
18		Jair III	
19		Jehozadak	
20		Zadok (צדוק)	
21		Amram I (עמרם)	
22		Hilkiah or Hezekiah II	
23		Amram II (עמרם)	
24		Akkub	
25		Akkubiah I	
26		Hillel I	
27		Seriah	
28		Levi I (לוי)	
29		Netaniel I	
30		Azariah	
31		Aabed-El I	
32		Hezekiah III	
33		Hananiah	
34		Amram III (עמרם)	
35		Hillel II/Hanan	
36		Hezekiah IV	
37		Daliah II	
38		Akkub II	
39		Akkubiah II	
40		Levi II (לוי)	
41		Eleazar II	
42		Manasseh	
43		Jair IV	
44		Netaniel II	
45		Joachim	
46		Jonathan III	
47		Elishama	
48		Shemaiah	
49		Tabia II	
50		Amram IV (עמרם)	
51		Akabon I	
52		Phinehas II	
53		Levi III (לוי)	
54		Eleazar III	
55		Baba I (בבא)	
56		Eleazar IV	
57		Akabon II	
58		Netaniel III	
59	Baba Rabba	Baba II Rabba	Q2911644
60		Akabon III	
61		Netaniel IV	
62		Akabon IV	
63		Eleazar V	
64		Akabon V	
65		Eleazar VI	
66		Akabon VI	
67		Eleazar VII	
68		Netaniel V	
69		Eleazar VIII	
70		Netaniel VI	
71		Eleazar IX	
72		Akabon VII	
73		Eleazar X	
74		Akabon VIII	
75		Eleazar XI	
76		Akabon IX	
77		Eleazar XII	
78		Simeon (שמעון)	
79		Levi IV (לוי)	
80		Phinehas III	
81		Netaniel VII (נתנאל)	
82		Baba III (בבא)	
83		Eleazar XIII	
84		Netaniel VIII	
85		Eleazar XIV	
86		Phinehas IV	
87		Netaniel IX	
88		Aabed-El II	
89		Eleazar XV	
90		Aabed-El III	
91		Eleazar XVI	
92		Aabed-El IV	
93		Aaron II (אהרן)	
95		Tsedaka I	
96		Amram V (עמרם)	
97		Aaron III (אהרן)	
98		Amram VI (עמרם)	
99		Uzzi II	
100		Joseph I (יוסף)	
101		Phinehas V	
102		Eleazar XVII (אלעזר)	
103		Phinehas VI haNatzri (פינחס)	
104		Abishua II (אבישע)	
105		Eleazar XVIII (אלעזר)	
106		Itamar (איתמר)	
107		Amram VII (עמרם)	
108		Uzzi III	
109		Phinehas VII (פינחס)	
110		Eleazar XIX (אלעזר)	
111		Phinehas VIII (פינחס)	
112		Shalma I ben Phinehas	
113		Tsedaka II ben Tabia ha'Åbtå'i	
114		Yitzhaq I ben Tsedaka	
115		Abram ben Yitzhaq	
116		Levi V ben Abram	
117		Tabia III ben Yitzhaq ben Abram	
118		Shalma II ben Tabia	
119		Amram VIII ben Shalma	
120	Yaacob I ben Aaharon ben Shalma	Yaacob I ben Aaharon ben Shalma	Q109888305
121	Yitzhaq II ben Amram ben Shalma ben Tabia	Yitzhaq II ben Amram ben Shalma ben Tabia	Q107534637
122	Matzliach ben Phinhas ben Yitzhaq ben Shalma	Matzliach ben Phinehas ben Yitzhaq ben Shalma	Q108907045
123	Abisha III ben Phinhas ben Yittzhaq ben Shalma	Abisha III ben Phinehas ben Yitzhaq ben Shalma	
124	Amram IX ben Yitzhaq ben Amram ben Shalma	Amram IX ben Yitzhaq ben Amram ben Shalma	
125	Asher ben Matzliach ben Phinhas	Asher ben Matzliach ben Phinehas	Q108764515
126	Phinehas X ben Matzliach ben Phinehas	Phinehas X ben Matzliach ben Phinehas	Q108907046
127	Yaacob II ben Uzzi ben Yaacob ben Aaharon	Yaacob II ben Uzzi ben Yaacob ben Aaharon	
128	Yoseph ben Ab-Hisda ben Yaacov ben Aaharon	Yoseph II ben Ab-Hisda ben Yaacov ben Aaharon	Q8055954
129	Levi ben Abisha ben Phinhas ben Yitzhaq	Levi VI ben Abisha ben Phinehas ben Yitzhaq	Q2666440
130	Shalom ben Amram ben Yitzhaq	Shalom II ben Amram ben Yitzhaq/Salum Is'haq al-Samiri	
131	Elazar ben Tsedaka ben Yitzhaq	Elazar XX ben Tsedaka ben Yitzhaq	Q2164896
132	Aharon ben Ab-Chisda ben Yaacob	Aharon IV ben Ab-Chisda ben Yaacob	Q2031200
133	Aabed-El ben Asher ben Matzliach	Aabed-El V ben Asher ben Matzliach	Q13485740
