geni_id,label,walk,priority,repeat,why
6000000227723403845,Adasi reseed past the bottleneck,Descendants,50,,"part 1 of THE WHOLE PROGRAM -- Forest and Descendants filed; this row is the Monte Carlo's future hits, not a repeat"
6000000008384075400,Sayaluna ata,Descendants,50,,"one of the six found in Abul Hamza's ball 2026-09-10, 15000 on the census"
6000000000746523797,Helene de Corday,Descendants,50,,"one of the six, 15000 on the census"
6000000026257912323,Robert d'Esneval VI,Descendants,50,,"one of the six, 15000 on the census"
6000000001435366077,Ines de Bettencourt I,Descendants,50,,"one of the six, 15000 on the census"
6000000015633226273,Pietro Antonio di Capua,Descendants,50,,"one of the six, 12476 on the census"
6000000015647948256,Jacques Grimaldi,Descendants,50,,"one of the six, 11468 on the census; the export/<id> refusal was measured on him"
6000000021665410212,Aztec banked hit,Descendants,50,,"the last unspent banked Monte Carlo hit, 5086"
6000000209721868822,NN Mixcoamatzin (Aztec),Forest,50,,"part 2 -- Forest then Monte Carlo, no Descendants; the Forest is not on disk"
6000000035218690155,Genghis,Descendants,50,,part 2 -- Monte Carlo only; its Forest is filed and no ball is
6000000227738946872,ancestor created above Sayaluna ata,Descendants,50,,"THE SIX 1/6 -- climbed 2026-09-13, ancestor owned by this account so it exports directly"
6000000227739063867,ancestor created above Helene de Corday,Descendants,50,,THE SIX 2/6 -- climbed 2026-09-13
6000000227739018883,ancestor created above Robert d'Esneval VI,Descendants,50,,THE SIX 3/6 -- climbed 2026-09-13
6000000227738961944,ancestor created above Ines de Bettencourt I,Descendants,50,,THE SIX 4/6 -- climbed 2026-09-13
6000000227739183868,ancestor created above Pietro Antonio di Capua,Descendants,50,,"THE SIX 5/6 -- climbed 2026-09-13, export 6000000227739138939 submitted"
6000000227739073017,ancestor created above Jacques Grimaldi,Descendants,50,,"THE SIX 6/6 -- climbed 2026-09-13, export 6000000227739405827 submitted"
6000000008826548841,Adasi Monte Carlo cap hit,Descendants,50,,"the one target added after the queue closed 2026-09-13 -- 15000 on the census, a ball truncated by definition; Emma: ""we are adding the Adasi one. I am not committing to anything more with this"""
6000000227036719829,NN Father of Huaxu -- THE CHINESE ROOT,Forest,0,yes,"ruled 2026-09-13 THE MOST IMPORTANT ONE, full three-step; ""all gedcoms from it are considered privileged due to the merge history"" so the balls go in exports/post-merge/"
6000000015507447504,Adasi Monte Carlo second hit,Descendants,50,,"6975 on the census, well clear of the cliff at 1417; ruled in with the cap hit 2026-09-13"
6000000227036719829,NN Father of Huaxu -- THE CHINESE ROOT,Descendants,1,yes,"DROP-EVERYTHING re-export, step 2. Same reading as the Forest -- the corrected structure is the deliverable, a 0%-new ball is a success"
